,loan_installments_bucket_label_enc,loan_tenure_bucket_label_enc,Age_bucket_label_enc,monthly_expenses_bucket_label_enc,annual_income_bucket_label_enc,house_area_bucket_label_enc,sex_label_enc,social_class_label_enc,social_class_label_enc,secondary_business_label_enc,type_of_house_label_enc,loan_purpose_label_enc,social_class_label_enc,social_class_label_enc,city_trgt_label_enc,primary_busn_label_enc
22031,1,0,1,1,2,1,0,1,1,0,2,7,1,1,8,20
38771,0,0,1,0,4,3,0,3,3,0,3,28,3,3,11,20
24021,1,0,1,1,1,1,0,1,1,0,2,1,1,1,8,24
22280,0,0,1,2,2,1,0,3,3,4,2,12,3,3,11,20
17773,0,0,1,1,1,2,0,0,0,0,1,0,0,0,11,20
31786,0,0,1,0,4,3,0,3,3,0,3,1,3,3,11,30
2691,1,0,1,1,4,2,0,1,1,0,1,3,1,1,6,25
38838,0,0,1,1,5,2,0,3,3,0,3,2,3,3,3,18
27100,1,0,1,1,4,2,0,1,1,0,2,17,1,1,18,15
17242,1,0,0,1,2,2,0,0,0,0,1,17,0,0,18,15
10472,1,0,1,1,0,0,0,4,4,0,3,17,4,4,11,20
31715,0,0,1,1,4,1,0,1,1,0,3,21,1,1,14,13
3406,0,0,1,0,2,1,1,0,0,0,2,12,0,0,11,20
18295,0,0,1,1,4,1,0,3,3,2,3,21,3,3,1,13
37758,1,1,1,1,3,1,0,1,1,0,2,2,1,1,11,20
15409,1,0,1,1,4,1,0,3,3,0,1,7,3,3,7,20
23063,1,0,1,1,4,1,0,2,2,0,2,17,2,2,18,15
1463,0,0,0,0,3,1,0,4,4,0,3,17,4,4,11,20
33921,0,0,1,1,3,2,0,4,4,1,3,14,4,4,11,29
33328,0,0,1,1,4,1,0,3,3,0,1,34,3,3,11,20
8112,0,0,0,1,0,0,0,4,4,0,1,1,4,4,14,30
37984,0,0,0,0,1,2,0,0,0,0,1,13,0,0,11,9
6173,0,0,0,0,0,1,0,1,1,1,3,28,1,1,11,20
17541,1,0,1,1,4,1,0,3,3,0,2,21,3,3,7,13
3078,0,0,1,1,2,2,0,2,2,3,2,21,2,2,11,13
37267,0,0,1,1,5,2,0,1,1,0,3,13,1,1,14,9
28108,0,0,1,1,3,1,0,3,3,0,3,2,3,3,1,6
6362,0,0,1,1,2,1,0,1,1,0,3,2,1,1,14,18
1685,0,0,1,1,2,1,0,1,1,0,2,27,1,1,3,20
24408,1,0,0,1,4,1,0,1,1,0,1,7,1,1,18,20
16341,0,0,1,1,4,1,0,2,2,0,2,21,2,2,13,20
13847,1,0,1,1,4,1,0,3,3,0,2,7,3,3,7,20
10513,1,0,1,1,0,0,0,4,4,0,1,2,4,4,11,20
8503,1,0,1,1,0,0,0,4,4,0,3,1,4,4,11,20
3330,0,0,0,1,2,1,0,3,3,0,3,28,3,3,11,12
6470,0,0,1,0,1,2,0,3,3,0,3,12,3,3,14,20
23684,1,0,1,1,4,2,0,1,1,0,2,17,1,1,18,15
10069,0,0,1,1,0,0,0,4,4,0,1,17,4,4,11,20
38849,0,0,1,0,2,2,0,1,1,0,2,1,1,1,11,14
3725,1,0,1,1,2,1,0,0,0,0,2,21,0,0,11,22
768,0,0,1,1,3,1,0,0,0,0,3,2,0,0,11,18
7951,1,0,1,0,0,0,0,4,4,0,2,12,4,4,11,20
626,0,0,1,1,0,1,0,2,2,0,3,21,2,2,11,22
14988,1,0,0,1,1,1,0,0,0,0,2,3,0,0,11,27
13337,0,0,1,1,1,1,0,1,1,4,2,10,1,1,11,20
28176,0,0,1,1,3,1,0,3,3,0,3,2,3,3,1,6
6039,0,0,0,1,1,1,0,0,0,4,2,21,0,0,11,13
1677,0,0,1,1,2,1,0,1,1,0,2,33,1,1,3,20
29747,0,0,0,0,2,2,0,1,1,0,3,14,1,1,14,20
1146,0,0,1,1,3,2,1,0,0,0,2,1,0,0,11,30
28315,0,0,1,1,3,2,0,1,1,0,3,2,1,1,1,6
30524,0,0,1,1,4,2,0,3,3,0,1,3,3,3,3,27
15181,0,0,1,1,3,2,1,3,3,0,3,21,3,3,12,13
17063,0,0,1,1,3,2,1,3,3,0,3,1,3,3,12,14
30086,0,0,1,1,3,2,1,1,1,1,3,14,1,1,11,29
36578,0,0,0,1,4,2,0,2,2,0,3,3,2,2,11,27
12485,0,0,0,1,0,0,0,4,4,0,1,3,4,4,3,27
13548,0,0,1,1,3,3,0,3,3,1,3,17,3,3,5,15
6584,1,0,1,1,4,1,0,3,3,0,3,17,3,3,9,20
11963,0,0,1,1,0,0,0,4,4,0,3,3,4,4,11,25
9826,1,0,1,1,0,0,0,4,4,0,2,21,4,4,11,13
29291,0,0,0,2,2,1,1,3,3,0,1,36,3,3,11,31
8165,0,0,1,1,0,0,0,4,4,0,0,17,4,4,11,2
10611,0,0,1,1,0,0,0,4,4,0,1,17,4,4,11,20
9969,0,0,1,0,0,0,0,4,4,0,3,2,4,4,14,18
16848,1,0,1,1,4,1,0,3,3,0,3,21,3,3,7,13
10366,0,0,1,0,0,0,0,4,4,0,3,2,4,4,11,18
26764,1,0,1,1,4,2,0,0,0,0,2,7,0,0,18,20
4662,0,0,1,1,3,2,0,3,3,1,2,3,3,3,11,27
11955,0,0,1,1,0,0,0,4,4,0,3,1,4,4,11,20
16213,0,0,0,1,3,2,0,1,1,0,3,25,1,1,11,20
21064,0,0,1,0,2,2,0,3,3,1,3,14,3,3,11,29
19874,0,0,1,1,4,1,0,4,4,2,3,28,4,4,13,20
18259,0,0,1,1,3,3,0,3,3,0,3,28,3,3,5,20
2454,0,0,1,1,3,2,1,0,0,3,2,28,0,0,11,20
4968,1,0,1,1,1,1,0,1,1,0,2,1,1,1,8,20
3632,0,0,1,1,1,2,0,3,3,0,3,1,3,3,11,20
24510,0,0,1,1,1,2,0,3,3,0,3,12,3,3,14,20
12638,0,0,1,1,0,0,0,4,4,0,1,9,4,4,11,20
28552,0,0,1,0,3,3,0,3,3,0,3,13,3,3,11,26
37917,0,0,1,1,5,1,0,1,1,0,2,29,1,1,3,20
20002,1,0,1,1,4,1,0,3,3,0,2,21,3,3,7,13
1505,0,0,1,1,0,1,0,3,3,0,3,13,3,3,11,0
5514,0,0,1,1,2,1,0,3,3,0,3,2,3,3,14,18
17908,0,0,1,1,3,1,0,3,3,0,3,2,3,3,1,6
14239,1,0,1,2,4,1,0,3,3,2,3,21,3,3,9,13
35331,0,0,1,1,3,2,1,0,0,0,3,14,0,0,11,20
32886,0,0,1,1,4,2,0,1,1,0,2,14,1,1,14,29
17289,0,0,1,1,3,2,0,3,3,0,3,2,3,3,14,18
31672,0,0,1,1,4,2,1,1,1,2,2,12,1,1,17,20
26016,0,0,1,1,2,2,0,4,4,0,3,4,4,4,14,20
18135,1,0,1,1,1,1,0,1,1,0,3,31,1,1,8,20
35135,0,0,1,1,4,1,0,1,1,0,2,14,1,1,16,29
3285,0,0,1,1,3,1,0,3,3,0,2,16,3,3,11,20
12801,0,0,1,1,0,0,0,4,4,0,0,2,4,4,11,18
7758,0,0,1,1,0,0,0,4,4,0,0,13,4,4,14,26
39055,0,0,1,1,3,1,0,1,1,0,3,14,1,1,14,29
4405,0,0,1,1,2,1,0,3,3,0,3,6,3,3,14,20
12901,0,0,1,1,1,1,0,2,2,0,3,4,2,2,14,20
21571,0,0,1,0,3,1,0,1,1,4,3,21,1,1,1,13
25191,0,0,1,1,5,1,0,2,2,0,2,3,2,2,13,27
8691,1,0,1,1,0,0,0,4,4,0,0,21,4,4,11,13
16389,1,0,1,1,1,1,0,1,1,0,2,31,1,1,11,20
22030,1,0,1,1,2,1,0,1,1,0,1,7,1,1,8,20
23149,0,0,1,1,3,2,1,1,1,0,3,12,1,1,11,20
30013,1,0,1,1,4,1,0,0,0,0,2,28,0,0,11,20
34841,0,0,1,1,4,2,0,3,3,0,3,21,3,3,11,13
20498,1,0,1,1,2,2,0,3,3,0,2,17,3,3,18,15
22520,0,0,0,0,2,3,0,3,3,0,3,17,3,3,5,10
32900,0,0,1,1,4,1,0,3,3,0,1,21,3,3,11,13
33691,0,0,0,1,3,1,0,3,3,0,3,6,3,3,14,20
25623,0,0,1,1,3,2,1,4,4,0,2,3,4,4,11,27
29372,0,0,1,1,3,1,0,3,3,0,3,1,3,3,14,14
23384,0,0,1,1,4,1,1,2,2,0,3,10,2,2,14,20
895,1,0,1,1,3,1,0,1,1,0,2,4,1,1,11,20
3222,0,0,1,1,2,2,0,2,2,0,3,3,2,2,14,25
26872,1,0,0,1,1,2,0,1,1,0,2,21,1,1,11,20
33458,0,0,1,0,4,3,0,3,3,0,3,3,3,3,11,32
5239,0,0,1,0,2,1,0,3,3,1,3,4,3,3,11,20
29120,1,0,1,1,4,2,0,1,1,0,2,31,1,1,11,20
29137,1,0,1,1,4,1,0,1,1,0,1,1,1,1,11,24
19787,1,0,1,1,2,2,0,2,2,0,2,17,2,2,18,15
3548,0,0,1,1,2,1,0,2,2,4,2,17,2,2,11,15
28596,1,0,0,1,4,2,0,1,1,0,2,15,1,1,11,20
24017,1,0,1,1,2,1,0,1,1,0,2,12,1,1,8,20
39906,0,0,1,0,1,2,0,1,1,0,3,2,1,1,11,6
949,0,0,1,1,3,1,0,3,3,2,2,12,3,3,10,20
39229,0,0,1,1,5,1,0,1,1,0,3,14,1,1,11,20
37804,0,0,1,0,3,1,0,1,1,0,2,2,1,1,11,20
22946,0,0,1,1,2,2,0,3,3,0,3,13,3,3,14,26
11422,0,0,0,0,0,0,0,4,4,0,2,28,4,4,11,20
3895,0,0,1,1,3,2,0,1,1,0,3,13,1,1,14,26
11879,0,0,1,1,0,0,0,4,4,0,2,14,4,4,11,29
36045,1,1,1,2,4,2,1,4,4,0,1,33,4,4,11,20
36765,0,0,1,1,4,1,0,3,3,4,2,14,3,3,16,29
31636,0,0,1,1,4,2,0,3,3,0,3,21,3,3,14,13
34617,0,0,0,1,3,2,1,1,1,0,2,2,1,1,11,6
34940,0,0,1,1,4,2,0,0,0,2,2,1,0,0,17,20
22051,1,0,1,1,1,1,0,1,1,0,1,7,1,1,8,20
14280,0,0,1,0,3,3,0,3,3,0,3,3,3,3,5,27
28935,0,0,1,1,4,2,0,3,3,0,3,1,3,3,14,14
7074,0,0,1,1,2,1,0,2,2,0,3,3,2,2,14,27
36360,0,0,1,1,4,2,0,2,2,0,3,27,2,2,14,20
28072,1,0,1,1,2,2,0,1,1,0,2,7,1,1,11,20
17322,1,0,1,1,1,2,0,1,1,0,2,3,1,1,11,25
5055,0,0,1,1,4,1,0,3,3,0,2,21,3,3,10,20
4268,0,0,1,1,1,1,0,4,4,0,3,1,4,4,14,30
24979,1,0,1,1,2,1,0,1,1,0,1,3,1,1,6,23
24300,1,0,1,1,4,2,0,1,1,0,2,7,1,1,18,20
30434,0,0,1,0,3,3,0,3,3,0,3,3,3,3,5,32
26874,0,0,1,1,5,1,0,2,2,0,1,1,2,2,13,30
6446,0,0,1,1,1,1,0,2,2,4,3,12,2,2,2,20
17816,1,0,1,1,4,2,0,1,1,0,2,1,1,1,8,24
35494,0,0,1,1,5,2,0,1,1,0,3,3,1,1,14,27
26571,0,0,1,0,3,1,0,3,3,0,3,17,3,3,5,10
11126,1,0,1,1,0,0,0,4,4,0,3,2,4,4,11,6
20739,1,0,1,1,3,1,0,1,1,0,3,21,1,1,7,13
25580,0,0,1,1,5,1,0,1,1,0,1,13,1,1,13,26
24934,0,0,0,1,1,1,0,1,1,4,3,3,1,1,11,25
33407,0,0,1,1,4,1,0,0,0,0,1,4,0,0,3,20
3667,1,0,1,1,1,1,0,0,0,0,2,17,0,0,11,20
28692,0,0,0,1,3,2,0,2,2,1,2,14,2,2,11,29
16832,0,0,1,0,3,2,0,4,4,0,3,1,4,4,11,30
32252,0,0,1,0,4,3,0,3,3,0,3,17,3,3,5,20
38329,0,0,1,1,5,1,0,1,1,0,1,27,1,1,3,20
9345,1,0,0,1,0,0,0,4,4,0,0,3,4,4,11,27
1715,0,0,0,0,2,1,0,2,2,0,1,17,2,2,11,15
39698,0,0,1,0,4,3,0,3,3,0,3,3,3,3,5,32
15415,1,0,1,1,4,1,0,3,3,0,2,7,3,3,7,20
32690,0,0,1,1,3,2,0,3,3,0,3,17,3,3,14,20
38664,0,0,1,0,5,1,0,3,3,0,3,21,3,3,11,13
12342,0,0,1,1,0,0,0,4,4,0,2,28,4,4,11,12
17920,1,0,1,1,2,2,0,1,1,0,2,31,1,1,8,20
39571,0,0,1,0,2,1,0,3,3,0,2,14,3,3,11,29
32149,0,0,1,1,4,2,0,3,3,0,2,17,3,3,14,20
9131,0,0,1,1,0,0,0,4,4,0,2,14,4,4,10,29
17910,1,0,1,1,1,1,0,1,1,0,3,1,1,1,8,24
34588,0,0,1,1,4,1,0,1,1,0,3,10,1,1,14,20
11608,0,0,1,1,0,0,0,4,4,0,1,28,4,4,11,12
15983,1,0,1,1,1,1,0,0,0,0,1,1,0,0,11,14
3620,0,0,1,1,1,1,0,0,0,1,3,1,0,0,11,20
21849,0,0,0,1,3,2,0,1,1,1,3,14,1,1,14,29
23460,0,0,0,1,2,1,0,3,3,0,2,3,3,3,14,27
34379,0,0,1,1,5,1,0,0,0,0,3,16,0,0,14,20
1154,0,0,1,1,3,1,0,0,0,0,1,3,0,0,11,25
36384,0,0,1,1,4,2,0,3,3,0,3,10,3,3,11,20
1625,1,0,1,1,5,1,0,3,3,0,2,10,3,3,9,20
21183,0,0,1,1,2,2,0,1,1,0,3,1,1,1,11,20
30915,0,0,1,0,3,3,0,3,3,0,3,3,3,3,5,27
29042,0,0,1,1,3,2,0,1,1,0,3,21,1,1,1,13
37542,0,0,1,1,4,2,0,0,0,0,2,4,0,0,11,20
3682,0,0,1,0,2,1,1,3,3,1,3,33,3,3,11,20
24045,0,0,1,1,1,1,0,0,0,4,1,1,0,0,2,24
38804,0,0,1,1,5,1,0,3,3,0,2,3,3,3,3,25
26502,0,0,1,1,2,2,0,3,3,0,2,14,3,3,14,29
4868,0,0,1,1,3,1,0,1,1,0,3,10,1,1,11,20
16936,0,0,1,0,3,1,0,3,3,0,3,3,3,3,11,25
29572,0,0,1,0,2,1,0,3,3,4,3,14,3,3,16,29
17786,0,0,1,1,3,2,0,3,3,0,3,2,3,3,14,3
25642,0,0,1,1,3,2,0,4,4,0,2,19,4,4,11,20
6509,0,0,1,1,1,1,0,1,1,4,2,21,1,1,11,20
35725,0,0,1,1,4,1,0,2,2,4,2,1,2,2,2,24
30621,0,0,1,0,3,2,0,3,3,0,1,14,3,3,14,29
25336,0,0,1,1,4,2,1,0,0,2,2,6,0,0,14,20
8518,1,0,1,1,0,0,0,4,4,0,2,1,4,4,11,30
11695,0,0,1,0,0,0,0,4,4,0,3,12,4,4,14,20
39930,0,0,0,1,3,2,0,2,2,0,3,17,2,2,14,20
22388,1,0,0,1,2,2,0,1,1,0,2,17,1,1,18,15
29212,0,0,1,1,2,1,0,0,0,4,1,1,0,0,11,14
12916,1,0,1,1,1,1,0,1,1,0,1,3,1,1,6,20
23365,0,0,1,1,2,1,0,2,2,0,3,28,2,2,14,12
20532,0,0,1,1,2,2,0,2,2,0,3,3,2,2,14,20
36153,0,0,1,1,4,1,0,3,3,0,1,1,3,3,3,30
30379,0,0,1,0,2,3,0,3,3,0,3,1,3,3,11,24
30886,0,0,0,1,4,2,0,1,1,0,2,21,1,1,11,20
20533,0,0,1,1,2,1,0,3,3,0,3,12,3,3,14,21
37189,0,0,1,1,4,2,0,3,3,0,3,2,3,3,14,3
2573,0,0,1,2,4,2,0,0,0,0,1,3,0,0,11,25
3029,0,0,1,1,2,1,0,2,2,4,3,17,2,2,11,15
26514,0,0,1,1,2,2,0,3,3,0,3,14,3,3,14,29
9982,1,0,1,0,0,0,0,4,4,0,3,3,4,4,11,27
25497,1,0,1,1,4,1,0,2,2,0,2,17,2,2,18,15
1525,1,0,1,1,2,1,0,4,4,0,2,1,4,4,11,24
38215,0,0,1,1,5,1,0,1,1,0,3,10,1,1,14,20
35492,0,0,1,1,4,1,0,1,1,0,1,1,1,1,3,30
17378,0,0,0,1,4,1,0,3,3,0,1,3,3,3,11,20
293,0,0,1,1,2,1,0,3,3,1,2,1,3,3,11,20
21773,0,0,1,1,3,2,0,1,1,2,2,21,1,1,14,20
37401,0,0,1,1,3,2,0,3,3,0,3,14,3,3,14,29
21680,0,0,1,0,2,2,0,1,1,0,2,1,1,1,11,30
11514,0,0,1,1,0,0,0,4,4,0,1,10,4,4,11,20
2055,0,0,0,0,2,1,0,3,3,0,2,21,3,3,10,20
7464,1,0,1,1,4,1,0,2,2,0,2,3,2,2,7,27
13475,0,0,1,1,1,1,0,3,3,4,3,12,3,3,11,20
2189,0,0,1,1,1,1,0,0,0,1,3,1,0,0,11,30
15690,0,0,1,0,3,2,1,3,3,0,3,1,3,3,12,20
25693,1,0,1,1,1,1,0,1,1,0,2,31,1,1,11,20
22656,1,0,1,1,2,1,0,2,2,0,2,17,2,2,18,15
11283,0,0,0,1,0,0,0,4,4,0,2,14,4,4,11,29
25861,1,0,1,1,1,1,0,1,1,0,2,3,1,1,6,27
14767,1,0,1,0,5,1,0,3,3,0,3,2,3,3,12,20
7433,1,0,1,1,2,1,0,1,1,0,2,28,1,1,8,20
13918,0,0,1,1,1,1,0,3,3,4,3,1,3,3,11,20
2118,0,0,1,1,1,2,0,3,3,0,3,1,3,3,11,20
31256,0,0,1,1,3,2,1,1,1,1,2,14,1,1,11,29
24050,1,0,0,1,1,1,0,1,1,0,2,2,1,1,8,18
12924,1,0,1,1,2,1,0,1,1,0,2,1,1,1,6,14
3527,0,0,0,1,3,2,1,2,2,0,2,3,2,2,11,25
36251,0,0,1,0,3,1,0,1,1,0,3,21,1,1,1,13
10518,1,0,1,1,0,0,0,4,4,0,2,7,4,4,11,20
12109,0,0,1,0,0,0,0,4,4,0,2,2,4,4,11,6
4395,0,0,1,0,2,1,0,3,3,0,3,3,3,3,11,27
17739,0,0,0,1,0,2,0,1,1,0,3,12,1,1,17,20
22332,1,0,1,1,2,2,0,1,1,0,2,17,1,1,18,15
1896,0,0,0,1,3,1,0,3,3,0,3,17,3,3,11,20
21186,1,0,0,1,2,2,0,0,0,0,2,17,0,0,18,15
9262,0,0,1,1,0,0,0,4,4,0,3,26,4,4,11,20
36456,0,0,1,1,4,1,0,1,1,0,3,13,1,1,2,9
21669,0,0,1,0,3,2,0,1,1,0,3,1,1,1,11,20
29019,0,0,0,1,3,1,0,1,1,0,3,21,1,1,1,13
3184,1,0,1,1,4,1,0,4,4,1,3,1,4,4,9,14
32592,0,0,0,1,3,2,0,0,0,2,2,1,0,0,17,20
30451,1,0,1,1,4,1,0,0,0,0,1,13,0,0,14,26
667,0,0,1,1,2,1,0,0,0,4,3,27,0,0,11,20
8597,1,0,1,1,0,0,0,4,4,0,0,1,4,4,8,20
11466,0,0,1,1,0,0,0,4,4,0,3,27,4,4,11,20
617,0,0,1,1,0,1,0,2,2,0,2,3,2,2,11,27
31317,0,0,1,1,4,2,1,1,1,2,2,3,1,1,17,25
21192,1,0,1,1,2,2,0,1,1,0,1,17,1,1,18,15
25931,0,0,1,0,3,3,0,3,3,0,3,3,3,3,5,32
25316,0,0,1,1,3,1,0,2,2,0,3,21,2,2,14,20
8014,0,0,1,1,0,0,0,4,4,0,3,28,4,4,11,12
32340,0,0,1,1,3,1,0,3,3,0,3,3,3,3,14,25
11511,0,0,1,1,0,0,0,4,4,0,1,10,4,4,11,20
33474,0,0,1,1,4,1,0,2,2,0,3,16,2,2,14,20
19659,0,0,1,1,3,2,0,3,3,1,3,1,3,3,14,20
15421,1,0,1,1,1,1,0,1,1,0,1,14,1,1,11,29
37133,0,0,1,2,5,1,0,1,1,0,1,29,1,1,3,20
34719,0,0,1,1,3,2,0,1,1,2,1,1,1,1,3,30
29265,0,0,0,2,2,1,0,3,3,0,1,36,3,3,11,31
18063,0,0,1,1,1,1,0,1,1,4,3,1,1,1,11,20
1234,0,0,0,0,0,1,0,2,2,0,3,16,2,2,14,20
10096,1,1,1,0,0,0,0,4,4,0,0,17,4,4,14,19
28976,0,0,1,1,3,1,0,3,3,0,3,21,3,3,1,13
18110,1,0,0,1,2,2,0,2,2,0,2,17,2,2,18,15
19972,1,0,1,1,1,1,0,1,1,0,2,31,1,1,11,20
9838,1,0,1,1,0,0,0,4,4,0,2,2,4,4,11,18
16949,0,0,1,1,3,2,0,0,0,0,2,26,0,0,11,20
24962,0,0,0,0,3,2,1,1,1,0,2,3,1,1,11,20
13485,0,0,0,0,3,1,0,1,1,0,3,27,1,1,11,20
26747,1,0,1,1,4,2,0,2,2,0,2,17,2,2,18,15
16243,0,0,1,1,3,1,0,1,1,0,3,12,1,1,14,20
21054,0,0,1,1,2,1,0,1,1,4,3,21,1,1,11,13
9106,0,0,1,0,0,0,0,4,4,0,3,2,4,4,11,18
35914,0,0,1,1,3,2,0,0,0,0,2,14,0,0,11,29
37846,0,0,1,1,5,1,0,2,2,0,3,13,2,2,11,9
34592,0,0,1,1,4,2,0,2,2,0,3,11,2,2,14,20
15621,0,0,1,1,5,2,0,1,1,2,2,21,1,1,11,20
7522,0,0,1,1,1,1,0,1,1,4,2,3,1,1,11,27
26275,0,0,0,1,4,2,0,1,1,2,1,21,1,1,17,20
20863,0,0,1,1,3,1,0,3,3,0,3,2,3,3,1,6
27771,1,0,1,1,4,2,0,1,1,0,2,17,1,1,18,15
20742,0,0,1,0,3,1,0,3,3,0,3,2,3,3,1,6
15293,0,0,1,1,4,1,0,3,3,0,3,4,3,3,11,20
37521,0,0,1,1,5,1,0,0,0,0,1,2,0,0,3,18
2956,0,0,1,1,1,2,0,1,1,0,3,10,1,1,11,20
23214,0,0,1,0,2,3,0,3,3,0,3,1,3,3,5,24
11340,0,0,1,1,0,0,0,4,4,0,3,21,4,4,11,20
33627,0,0,1,1,4,1,0,0,0,0,3,2,0,0,14,3
8930,0,0,1,1,0,0,0,4,4,0,3,9,4,4,14,20
39998,0,0,1,1,3,2,0,1,1,0,3,21,1,1,14,13
13032,0,0,1,1,3,3,0,3,3,1,3,17,3,3,5,15
1566,0,0,1,0,3,3,0,1,1,1,2,2,1,1,11,18
36878,0,0,1,0,4,3,1,3,3,0,3,14,3,3,5,20
13600,0,0,1,1,3,2,0,4,4,0,3,13,4,4,14,26
13408,0,0,1,1,1,1,0,1,1,4,3,10,1,1,11,20
14381,1,0,1,1,1,1,0,1,1,0,2,31,1,1,6,20
12872,0,0,1,1,3,1,0,2,2,0,3,1,2,2,14,20
29875,0,0,1,0,2,3,0,3,3,0,3,3,3,3,5,32
12412,0,0,1,0,0,0,0,4,4,0,3,3,4,4,11,27
36051,0,0,1,1,5,1,0,0,0,0,1,3,0,0,3,27
28686,0,0,1,1,3,2,0,2,2,1,2,14,2,2,11,29
36021,0,0,0,1,3,2,0,3,3,0,3,16,3,3,14,20
16176,0,0,1,1,4,2,0,1,1,1,3,21,1,1,1,13
11423,0,0,0,0,0,0,0,4,4,0,2,28,4,4,11,20
32821,0,0,1,1,3,2,1,0,0,2,2,8,0,0,17,20
6115,1,0,1,1,1,1,0,1,1,0,2,17,1,1,8,10
12536,0,0,0,1,0,0,0,4,4,0,3,2,4,4,11,18
11468,0,0,1,1,0,0,0,4,4,0,3,1,4,4,11,30
4222,1,0,0,1,1,1,0,1,1,0,2,1,1,1,8,14
1285,1,0,1,1,4,1,0,3,3,1,3,2,3,3,11,18
22631,0,0,1,1,4,2,0,3,3,2,2,21,3,3,14,20
15418,1,0,1,1,1,1,0,1,1,0,3,1,1,1,11,20
7034,1,0,0,1,1,1,1,1,1,0,2,17,1,1,6,10
23340,1,0,1,1,2,1,0,1,1,0,2,12,1,1,11,20
17314,1,0,1,1,1,1,0,1,1,0,2,3,1,1,11,25
13879,0,0,1,0,3,3,0,3,3,0,3,17,3,3,5,15
7493,1,0,1,1,4,1,0,1,1,0,1,1,1,1,7,20
37501,0,0,1,1,3,2,0,3,3,0,2,2,3,3,14,6
14467,1,0,1,1,4,1,0,3,3,0,2,2,3,3,7,6
24989,0,0,1,1,3,2,0,1,1,0,2,3,1,1,11,20
10586,0,0,0,1,0,0,0,4,4,0,1,3,4,4,11,27
14288,0,0,1,1,3,3,0,3,3,0,3,3,3,3,5,27
12539,0,0,0,0,0,0,0,4,4,0,2,5,4,4,3,20
9685,0,0,1,1,0,0,0,4,4,0,0,2,4,4,11,6
11855,0,0,1,1,0,0,0,4,4,0,2,1,4,4,11,30
27781,1,0,1,1,2,2,0,1,1,0,1,17,1,1,11,1
14602,0,0,1,1,1,1,0,0,0,4,1,1,0,0,11,24
20803,1,0,1,1,5,1,0,4,4,0,2,3,4,4,7,27
13412,0,0,1,1,1,1,0,1,1,0,3,1,1,1,14,30
21289,0,0,1,1,1,1,0,0,0,0,2,13,0,0,11,0
25105,0,0,1,1,4,1,0,3,3,0,3,9,3,3,11,20
2550,1,0,1,1,5,1,0,4,4,0,2,3,4,4,11,27
35458,0,0,0,1,4,1,0,1,1,0,3,3,1,1,3,27
24543,0,0,0,1,3,3,0,3,3,1,1,14,3,3,9,20
28705,1,0,1,1,4,2,0,1,1,0,2,3,1,1,6,25
11454,0,0,1,1,0,0,0,4,4,0,3,4,4,4,11,20
39119,0,0,1,1,3,1,0,3,3,0,3,3,3,3,1,27
20873,1,0,1,1,1,1,0,0,0,0,2,3,0,0,6,27
23092,0,0,1,1,2,1,0,0,0,4,3,1,0,0,11,20
27761,1,0,0,1,4,2,0,1,1,0,2,17,1,1,18,15
9130,0,0,1,1,0,0,0,4,4,0,0,14,4,4,10,29
23502,0,0,0,0,2,1,0,1,1,4,2,1,1,1,16,14
5068,0,0,1,1,3,1,1,0,0,0,1,33,0,0,11,20
39777,0,0,1,1,5,1,0,3,3,0,2,1,3,3,3,14
10483,1,0,1,1,0,0,0,4,4,0,2,21,4,4,11,13
34500,0,0,1,1,4,1,0,2,2,4,3,28,2,2,11,20
37668,0,0,1,1,3,2,0,3,3,0,2,2,3,3,14,6
27357,0,0,1,1,3,2,0,3,3,0,3,2,3,3,1,6
23289,0,0,0,0,3,1,0,2,2,0,3,3,2,2,14,27
22366,0,0,1,1,2,2,0,3,3,0,1,31,3,3,14,20
13452,1,0,1,2,4,1,0,3,3,2,3,21,3,3,9,13
29365,0,0,1,0,3,2,0,3,3,0,3,1,3,3,14,14
20757,1,0,1,1,1,2,0,1,1,0,2,3,1,1,6,25
27294,0,0,1,1,3,1,0,1,1,0,3,21,1,1,1,13
18780,0,0,1,1,1,1,0,0,0,4,2,21,0,0,11,13
25432,0,0,1,1,3,1,0,1,1,0,3,7,1,1,12,20
22905,1,0,1,1,4,2,0,2,2,0,2,17,2,2,18,15
7327,0,0,1,1,2,2,0,2,2,0,2,4,2,2,11,20
15529,1,0,1,1,4,1,0,3,3,1,1,28,3,3,9,12
1259,0,0,1,1,0,1,0,2,2,0,3,17,2,2,14,20
36507,0,0,1,1,5,1,0,3,3,0,3,28,3,3,11,20
26197,0,0,1,0,3,1,0,3,3,0,3,2,3,3,1,6
16607,0,0,0,1,3,2,0,1,1,1,3,21,1,1,11,13
32683,0,0,1,1,4,2,0,3,3,0,3,12,3,3,14,20
30052,0,0,1,0,3,3,0,3,3,0,3,14,3,3,11,4
3116,1,0,0,1,2,1,0,0,0,0,2,17,0,0,11,10
20350,0,0,1,1,4,2,0,2,2,0,3,1,2,2,14,20
28031,1,0,1,1,4,2,0,0,0,0,2,17,0,0,18,15
30138,0,0,1,1,4,2,1,2,2,1,3,14,2,2,11,29
19485,1,0,1,1,2,2,0,2,2,0,2,17,2,2,18,15
25281,0,0,1,1,2,2,0,3,3,0,3,21,3,3,14,13
18256,0,0,1,1,4,1,0,3,3,1,2,14,3,3,11,29
10736,0,0,1,0,0,0,0,4,4,0,3,1,4,4,3,30
