,type,text
1190,ham,tot u knew dis happen long ago
1191,ham,borderline yeah
1192,ham,think u got think use got good ni8
1193,ham,sound home
1194,ham,guy asking slipper gone year
1195,ham,super replacement mural
1196,ham,dun believe u told
1197,ham,good go day woke early online waiting mmm italian boy online
1198,ham,lot happened feel beth aunt charlie working helen
1199,ham,hyde park mel got e best choice den jun
1200,ham,playing space
1201,ham,sound like testing
1202,ham,u coming funeral home
1203,ham,called mom instead fun
1204,ham,road cant txt
1205,ham,good ok leave
1206,ham,boy glad g wasted night applebees
1207,ham,describe lucky actually awake noon
1208,ham,alright way meet
1209,ham,late paying rent past month pay felt inconsiderate nag great cost didnt speak recession wont able pay charge month asking ahead thanks
1210,ham,sure neighbor didnt pick
1211,ham,beautiful truth expression face seen depression heart understood loved gun
1212,ham,finished lunch u wake
1213,ham,uploaded facebook
1214,ham,dear free message hi hi hi
1215,ham,nowadays people notixiquating laxinorficated opportunity gambling oblisingately opted ur book masteriastering amplikater think wot ur junta
1216,ham,y dun cut short u dun like
1217,ham,look amy ure intelligent woman like u know u like like
1218,ham,pls speak customer
1219,ham,hi keen kind feel mind
1220,ham,hope great rewarding
1221,ham,text missing missing u lot thats y missing sent
1222,ham,forgotten couple buck send love ya
1223,ham,raviyog peripheral bhayandar east
1224,ham,day working saturday
1225,ham,specific regard javelin id
1226,ham,spending new year brother let plan meet ready
1227,ham,end ok journey wk good huge log marking
1228,ham,let know kick
1229,ham,time think need know near campus
1230,ham,know lunch menu know
1231,ham,ok good later come find c lucky told u later pole finish u
1232,ham,im pretty pissed
1233,ham,thats liked
1234,ham,kindly send flat decimal
1235,ham,gh got class
1236,ham,leave telling
1237,ham,change e
1238,ham,hey whats u sleeping
1239,ham,test girl world
1240,ham,oh charge camera
1241,ham,extra cold pls lot vitamin c
1242,ham,plan floating ikea care live mess
1243,ham,try weight tear come ur heart fall ur remember stupid friend bslvyl
1244,ham,died 3d imp
1245,ham,sound like like dinner date
1246,ham,gr8 r u contrast school wat r ur
1247,ham,www nearly rez incoming todo working whilltake
1248,ham,hey want
1249,ham,yeah lol
1250,ham,pls prometazine 5mls min later
1251,ham,wanted tell tell score co motivating thanks sharing
1252,ham,cant wait
1253,ham,feel like jerk sleeping text facebook
1254,ham,right ill fb couple minute
1255,ham,mystery opened email sent sweet
1256,ham,woman tell like dislike
1257,ham,wil got space
1258,ham,year old taken money supposed deal group tell
1259,ham,good go day hope maybe got lead think send passionate kiss sea
1260,ham,literally bed like hour
1261,ham,outside head hard rock run
1262,ham,getting impatient belligerent
1263,ham,significant dont
1264,ham,leave couple minute let know mu
1265,ham,love need heart special people u c miracle
1266,ham,likely called google dont paracetamol dont worry
1267,ham,type stuff
1268,ham,yeah usual town definitely people know
1269,ham,bloody cant believe forgot surname mr ill u spanish begin
1270,ham,happy new year u
1271,ham,k breaking store
1272,ham,long beach u having dinner
1273,ham,guy complaining acted like interested buying week gave free
1274,ham,join depends phone father
1275,ham,said mind saying matter
1276,ham,hi kate lovely tonight ill phone got sing guy gave xxx
1277,ham,weird know point
1278,ham,thread wishlist section forum ppl post nitro start page collect
1279,ham,thank generally date
1280,ham,ya vkey vl c min il reply
1281,ham,film ill
1282,ham,doesnt sense need know
1283,ham,babe miss know let send money net need want grave
1284,ham,u message
1285,ham,supposed meet discus abt thought hui told thought lesson
1286,ham,father john u an th hav ti s ia question try
1287,ham,take vomit temp unit let
1288,ham,getting tonight
1289,ham,loverboy keep coming mmm acre speak miss desperately
1290,ham,cool tyler gonna buy drop place later total order got
1291,ham,oh goodness sake like tallahassee
1292,ham,sorry dont know dan reminded hope guy
1293,ham,find way
1294,ham,sent type food
1295,ham,come n pick u come immediately aft ur
1296,ham,think need going late school especially class missed wednesday probably failed test friday
1297,ham,teach ship
1298,ham,big scraped barrel shower social visit
1299,ham,dont think need yellow card uk ask gone buck
1300,ham,got money pick bread milk home
1301,ham,hai ana tomorrow coming decimal ill kathy ll reply came
1302,ham,stop knowing
1303,ham,old orchard near
1304,ham,getting home
1305,ham,rose need season need poet need phone need ur sm need ur lovely friendship
1306,ham,dad gonna get work ask crazy
1307,ham,getting worried derek taylor assumed worst
1308,ham,camera 3optical 5digital lovely safe hope hav good happy new year couple
1309,ham,got lot diamond
1310,ham,ok town
1311,ham,da birthdate certificate april real date dont publish shall special treat way thanks wish
1312,ham,think teaching til lecture damn working
1313,ham,easy got selected mean
1314,ham,know bringing school fee pay rent stuff like thats need friend
1315,ham,wait msg
1316,ham,let know contact settled let know
1317,ham,work today
1318,ham,u ned convince possible hurting feeling main
1319,ham,worry saying like said want
1320,ham,hey pretty want lesson join reaching tp mrt
1321,ham,ultimately tor motive tui achieve
1322,ham,party alex nichols
1323,ham,si jun watched italian
1324,ham,u believe didnt know pre booked cancelled need b sacked
1325,ham,dear good morning
1326,ham,project twin coming
1327,ham,meet bristol road touch plan good week
1328,ham,drug able
1329,ham,wat make people dealer de happiness dat u feel u meet de pain u feel u miss
1330,ham,da good good
1331,ham,babe lost try reporting
1332,ham,kylie weed dealer carlos went freedom class lunsford
1333,ham,remember hurt day satanic importer pay destiny going u said pray mind
1334,ham,min stop
1335,ham,come medal bus decimal
1336,ham,know anyplaces
1337,ham,smoking people use kylie smoke justify ruining stuff
1338,ham,king cry baby great building important u r u wil reach gun ni8
1339,ham,mean february april getting place stay hustle forth audition season sister moved away
1340,ham,ok come soon come tomorrow
1341,ham,thing wanted hurt think delete tag far fact felt like hurt show know messy problem time clean choose want mind thing throw laundry friend house embarrassed underwear bra strewn pillow good making
1342,ham,thank shaped wit kz didnt pleasure hope given ultimatum counting
1343,ham,hi darwin im missing u hope having good u time u jess xx
1344,ham,cheer message staring phone age deciding text
1345,ham,going write cca exam
1346,ham,hello talk email
1347,ham,emailed ying u fr
1348,ham,people tour thought sofa thing sent curious sugar
1349,ham,know helpful want pretend text response hypotheticalhuagauahahuagahyuhagga
1350,ham,dunno close red u v ma
1351,ham,hi exchanged uncut diamond excellent service dino
1352,ham,deleted contact
1353,ham,dunno let learn
1354,ham,sica hostel
1355,ham,later need cat study
1356,ham,oi gonna ring
1357,ham,u sure u sick
1358,ham,project w free
1359,ham,love decide life magical
1360,ham,promise getting soon text morning let know
1361,ham,uncle time help clearing car
1362,ham,k sure consent form
1363,ham,donna gene
1364,ham,hi kindly document submitted loan stapati
1365,ham,caught u broken english
1366,ham,pls convey birthday wish dot forget today birthday ship
1367,ham,hmm ill think ok
1368,ham,amazing life difficult decide whats lie brings smile truth brings
1369,ham,ding ya black london
1370,ham,believe attached seeing know best teach class midnight
1371,ham,there chick huge
1372,ham,care sleep need learn change need convinced wait conversation convinced family u role
1373,ham,p daddy neighbor come toothpaste morning
1374,ham,uni thank dear
1375,ham,speaking cash
1376,ham,v skin faced gone meet spoon st bin watching planet v dont hav gd night
1377,ham,good time nice bit different weekend ya soon
1378,ham,u ready
1379,ham,nokia phone
1380,ham,hurt tease end life die plz rose grave stupid miss nice day bslvyl
1381,ham,yeah sort regard
1382,ham,going need little experience understand american customer
1383,ham,study cant need
1384,ham,hope having kind load reason viola
1385,ham,hi dear know whats want work problem tell rating
1386,ham,saw guy doll night patrick wayne great
1387,ham,told call best cricketer machine tough
1388,ham,prefer free fri oso u ask working
1389,ham,blanket thx
1390,ham,gonna able little early
1391,ham,lol trying day little interesting
1392,ham,got exciting karaoke type activity debating play football feeling lazy
1393,ham,painful personal try everybody happy recognises
1394,ham,finished long time ago showed
1395,ham,lol trying find real life photo
1396,ham,letter b car
1397,ham,looking pick later
1398,ham,miss miss relate opponent miss short thats d great phone receiving quality
1399,ham,passed paper sem contrast anna gun
1400,ham,finally came fix
1401,ham,r buy
1402,ham,sweet tell like dislike
1403,ham,lot thing happening lindsay new year bar tbo blue heron going
1404,ham,mode men
1405,ham,u specify da domain u
1406,ham,wat happened cruise thing
1407,ham,cant think spare room head
1408,ham,hey u
1409,ham,got money
1410,ham,night worrying shame missed girl night quiz popcorn
1411,ham,crazy ar u like gd looking guy free like korean dun aft thinking pro
1412,ham,tell dear happen talking like align
1413,ham,lol u trust
1414,ham,yeah bring tape measure
1415,ham,ask abt e u wan tv
1416,ham,multimedia message
1417,ham,choose number pin
1418,ham,sac score big set
1419,ham,mmmmmmm contested love barely stand
1420,ham,dont let studying stress
1421,ham,reckon need town eighth walk
1422,ham,case guess campus lodge
1423,ham,effect ignore
1424,ham,pete ring meine hardly botany credit
1425,ham,trip bus audition wednesday think drive
1426,ham,today sorry angry misbehaved hurt plz plz slap self ur basically good
1427,ham,u got person story
1428,ham,dont msg reply
1429,ham,dont know jab
1430,ham,gentle sweet gentle
1431,ham,hey told gotham
1432,ham,oh send address
1433,ham,asked waheeda fathom
1434,ham,thanks sending mental ability
1435,ham,u turn heater set
1436,ham,know mean
1437,ham,outstanding commercial jump hoop
1438,ham,im gonnamissu il send u postcard butcher aboutus chance merememberin ofi breaking luv yard
1439,ham,let ur heart ur compass ur mind ur map ur soul ur guide u loose sent
1440,ham,stupid auto correct phone
1441,ham,find way include detail
1442,ham,want actually better yor got money pay fill gas stressed home thanksgiving cup tell
1443,ham,yes chatting
1444,ham,bus way calcium
1445,ham,hi meeting
1446,ham,hope having fun u tomorrow love jess x
1447,ham,right want money
1448,ham,moi love rich day
1449,ham,ups 3days shipping company take way us take week get lag bribe nypost
1450,ham,hey angry reply
1451,ham,u plumber tape wrench
1452,ham,guess got screw
1453,ham,dont know getting message
1454,ham,marriage u r walking unfortunately snake bite bt love marriage dancing font d snake saying bite bite
1455,ham,good afternoon go walking day police wake miss babe
1456,ham,tell who
1457,ham,text doesnt reply let know log
1458,ham,stupid sending like believe
1459,ham,time job
1460,ham,co want thing
1461,ham,huh dat mean u havent finished
1462,ham,yeah bored depressed sitting waiting phone hope wind drop scary
1463,ham,hide keeping distance
1464,ham,thanks ve lovely rock
1465,ham,nt driving reason called hw abt dog vinobanagar violence hw hw ru
1466,ham,got hospital data analysis start sure thesis got finished
1467,ham,surfing online offer want buy
1468,ham,home n
1469,ham,today late
1470,ham,special cheese pizza know doi tonight
1471,ham,right ask jay
1472,ham,mean left early co working
1473,ham,cant come search
1474,ham,remember bowl car
1475,ham,er yep
1476,ham,wil reach
1477,ham,cute thought necessary share secret ur close u shared
1478,ham,sorry yes master
1479,ham,check mailed karma kept copy
1480,ham,theoretically able come
1481,ham,come said
1482,ham,ok darwin suppose ok worry film stuff mate babysit
1483,ham,lol ok ill try warned sprint dead poll tomorrow
1484,ham,saying putting head freedom stuff deal barely keeping get added
1485,ham,right plan come later
1486,ham,cheer u tex u yeah orden funny r uin wk likeyour having gr8fun update countinlots love
1487,ham,time think
1488,ham,happy new year man
1489,ham,mean u ur
1490,ham,mm food da
1491,ham,fine way u way got b
1492,ham,head straight
1493,ham,gun ni8
1494,ham,work mon sat cant booked day u
1495,ham,shall avatar hollalater
1496,ham,sorry missed
1497,ham,wat wright brother
1498,ham,jay told
1499,ham,ya telling abt
1500,ham,willing aptitude
1501,ham,especially offense
1502,ham,shining meant sound
1503,ham,want r
1504,ham,love working home
1505,ham,sorry cell got problem y nt able reply u msg
1506,ham,ummmmmaah happy return d day dear sweet happy birthday dear
1507,ham,day crab running sea wave came n cleared footprint crab find y r u clearing beautiful wave fox following ur footprint catch thats y cleared frndsship let u don gun
1508,ham,time thinking
1509,ham,boy good bad positive negative mummy
1510,ham,try figure money gas jay trying figure weed budget
1511,ham,cps causing outage conserve
1512,ham,im gloucesterroad sup
1513,ham,great beautiful
1514,ham,r e meeting
1515,ham,bit left guy want tonight
1516,ham,hope art pissed id like love xxxxxxxxxxxxxx
1517,ham,hospital return home evening
1518,ham,write msg dictionary mode screen remove ur
1519,ham,guess min
1520,ham,love good hear need grave odore ahmad
1521,ham,nah bad good b home reality ur day u
1522,ham,hey gave photo registered driving tmr wanna meet
1523,ham,u enjoy ur
1524,ham,lol snatch purse
1525,ham,dont want hear
1526,ham,tap spite pub gas st broad st
1527,ham,said text
1528,ham,happening til
1529,ham,u finishing
1530,ham,u town
1531,ham,pls food preferably pap slowly load hour
1532,ham,little getting time
1533,ham,oh honda gun math en samachara
1534,ham,answering maybe better reboot ym got photo great
1535,ham,place charge contribute way greatly got room
1536,ham,thanks trying tell sure
1537,ham,discussed mother
1538,ham,stop calling saying throat hurt answering babysitting monday
1539,ham,plane month
1540,ham,freezing craving ml
1541,ham,damn christmas think decided mp3 doesnt
1542,ham,wrong answer assume people
1543,ham,ok try week end course
1544,ham,good watch remember decide
1545,ham,asked ok
1546,ham,maybe reboot ym seen buzz
1547,ham,guy getting g said thinking staying mr
1548,ham,mobile sm ur mail regard
1549,ham,dun quit jazz yogasana oso meet em lesson
1550,ham,ring come guy gift future hint hint
1551,ham,mikka player
1552,ham,actual exam harder
1553,ham,pls dont restrict eating like
1554,ham,yeah jus
1555,ham,ok u sleep early
1556,ham,sorry lit hair fire
1557,ham,oops phone died yeah like
1558,ham,told stupid hear wont tell dad called brother
1559,ham,time come tomorrow
1560,ham,hey check listed
1561,ham,charge transfer charge withdraw like
1562,ham,oh den mu change plan yan jiu
1563,ham,ill tell k
1564,ham,good im suffering fever sentry able come office
1565,ham,yup n free meeting free
1566,ham,haha mw
1567,ham,kind missed train co asthma nxt half hr driving sure
1568,ham,u eating later eating free u going home
1569,ham,having trouble
1570,ham,networking technical support
1571,ham,pic send
1572,ham,wat time u wan
1573,ham,lovely night wake hope smile knowing great morning
1574,ham,recognise number confused r u
1575,ham,gift bird human hav natural gift frm
1576,ham,greeting consider
1577,ham,hi darwin canto anythingtomorrow parent breaking author u katexxx
1578,ham,dont monkey wot think certainly friend sleep div ud
1579,ham,wish thing wonder able value pls continue brisk walk drug asking find thing laugh love
1580,ham,yeah like go like friend mma flip like half hour
1581,ham,lol happens vega stay vega
1582,ham,going draw series year south african
1583,ham,mw tampa west hear
1584,ham,going ride
1585,ham,gonna ring weekend
1586,ham,let know need salad desert beer shall
1587,ham,getting damn job hunting
1588,ham,opposite dropped
1589,ham,lol great im getting
1590,ham,sleep da care
1591,ham,train northampton afraid staying saying today ho wednesday fancy comedy club week
1592,ham,hi birth 8lb mother baby
1593,ham,thanks putting keeping soon
1594,ham,sound like lot time spent chastity device boy beating like good going lounge nice long bath
1595,ham,taste fish curry
1596,ham,u nova tell home da aft
1597,ham,meeting u rite home u dun feel like coming
1598,ham,maybe hamster jealous million
1599,ham,sent buck
1600,ham,jason say cool pick place like hour
1601,ham,u home work
1602,ham,money base
1603,ham,text ready
1604,ham,u dont trouble tel twice tel neglect msg dont c read dont reply
1605,ham,lifted hope offer especially end month approach hurt anyways gr8 weekend
1606,ham,good like entrepreneur
1607,ham,yep phone know co thats real word
1608,ham,wishing wonderful
1609,ham,mu like second
1610,ham,al man n e thin go wrong de argument r y hav
1611,ham,g want know
1612,ham,u sure dat woman
1613,ham,got car
1614,ham,respond mma assume asleep mma start calling
1615,ham,friendship game word start march end today e
1616,ham,took coach walk today fell grazed knee stayed
1617,ham,hey going figure going new year
1618,ham,think wil
1619,ham,omg gonna breaking looked friend find photo asking stuff myspace logged like
1620,ham,joy life waking daywith thought somewheresomeone care send warm morning
1621,ham,nah dub je buff
1622,ham,mon skie best cheap n gd food ex oso depends want eat western chinese den u
1623,ham,honestly lovely cup tea promptly dropped key burnt finger getting
1624,ham,chilling room text way
1625,ham,swing got thing care
1626,ham,lover need
1627,ham,said wrong sorry
1628,ham,reached tired come tomorrow
1629,ham,b4 thursday
1630,ham,garbage hannaford wheat hex
1631,ham,told dont let
1632,ham,tick babe
1633,ham,sorry moi busy able find way wanted forgive reply free yahoo
1634,ham,life find time add year surely add life ur gun
1635,ham,brother transferred
1636,ham,thing want remember
1637,ham,cancel money
1638,ham,sound u yan jiu fast
1639,ham,hey booked plate yoga lesson haha
1640,ham,pls send address
1641,ham,ya came ago
1642,ham,past said train durham col reserved seat
1643,ham,west forever come
1644,ham,hate didnt accept single message
1645,ham,leaving qatar tone search went add ur prayer
1646,ham,finished got u leftover
1647,ham,don msg
1648,ham,r im thought id bored tv tell exciting happened
1649,ham,den sold went today num dun mind going jazz scared hiphop open cant catch
1650,ham,trouble class dodge expecting place
1651,ham,yo watching movie netflix
1652,ham,wish holding making important mean need life
1653,ham,find got y refering u member wit mail u vl credited r il getting draw acc wen
1654,ham,lol ok remember til site
1655,ham,student solved cat question tell answer u r got d
1656,ham,mmm dummy babe nice bolt szy
1657,ham,designation software developer
1658,ham,sound im going sleep good
1659,ham,wish u return happy birthday
1660,ham,today going college able attend
1661,ham,need detail online
1662,ham,send ur friend receive ur speaking attitude reply
1663,ham,talk probably come early tomorrow
1664,ham,slaaaaave summon time wish come
1665,ham,wot u trout u gonna txt bak luv k
1666,ham,ask carlos anybody chip
1667,ham,noooooooo thing need life
1668,ham,hope day going hoped wont bother bill settle extra know challenging time let
1669,ham,ok lor having project meeting
1670,ham,time history sold price shell
1671,ham,thickened message late buzz hear word
1672,ham,lol awesome
1673,ham,havent waiting u come sch
1674,ham,wait wednesday
1675,ham,thought treat
1676,ham,hey friend visit
1677,ham,got talent
1678,ham,trying reach success
1679,ham,wonder got love gone net cafe phone recharge friend net think
1680,ham,dear reach
1681,ham,picked receipt earlier
1682,ham,make btw carlos difficult guy gonna smoke pick second batch gas
1683,ham,im wondering right
1684,ham,let let kind weather brings ppl friendship
1685,ham,ur lecture
1686,ham,future planned result best enjoy
1687,ham,m unable let meet deep
1688,ham,ok come n pick u
1689,ham,come bit
1690,ham,skip right outside house house pull
1691,ham,expect hope go tomo
1692,ham,asked u question hour answer
1693,ham,u mean tot jun ok
1694,ham,y de asking like
1695,ham,get speak tomo
1696,ham,stupid challenge dont think write instead respond
1697,ham,popped ask bout said tonight wen girl
1698,ham,new year eve went party si hey
1699,ham,thanks da feel happy miss
1700,ham,life strict book teacher teach lesson conduct life conduct exam teach happy
1701,ham,text tonight
1702,ham,need chocolate weed
1703,ham,e timing w u
1704,ham,anyways study visiting
1705,ham,dot wnt tlk wid u
1706,ham,call dismissal 2nd
1707,ham,garage bookshelf
1708,ham,surely dont forgot touch
1709,ham,affidavit say e twig division courtroom time double check text tomorrow
1710,ham,good dummy lip sexy run think grave need
1711,ham,yeah tyler maybe ask bit
1712,ham,huh fr
1713,ham,u repeat e instruction e road ur
1714,ham,poking man everyday teach canada saying
1715,ham,b late love mum
1716,ham,hey u u ave good gamma de
1717,ham,u login dat dad etching u home
1718,ham,captain vijaykanth comedy captain drunken
1719,ham,y late need n da
1720,ham,officially philosophical u wanna home ready
1721,ham,initiate understand
1722,ham,haha yeah sec
1723,ham,u dun wan
1724,ham,naughty bought clothes little ready shopping kind time wanna
1725,ham,got look daddy want eat night
1726,ham,fetch yun u
1727,ham,think sorry replied late
1728,ham,ya ur rite wearing
1729,ham,need ke u bored init y suddenly
1730,ham,right later
1731,ham,good evening s
1732,ham,don week going tirunelvai
1733,ham,come buoyant n tell u told
1734,ham,depends u going
1735,ham,hard believe thing like lie think twice saying
1736,ham,name penis girl story add
1737,ham,ya ur
1738,ham,hi baby ive got work wanting u hope didnt piss u phone u xxx
1739,ham,dear denying word
1740,ham,count pick frm cola coaching mobile style
1741,ham,pls accept begging change
1742,ham,trying figure suppose couple different people said set date
1743,ham,yeah gotta check leo
1744,ham,watching telugu abt
1745,ham,sha b ok
1746,ham,forgot working wanna thing ok drop text free bored etc hope nose essay xx
1747,ham,said sorry
1748,ham,sorry hav seen heard unusual case sort hug
1749,ham,person story
1750,ham,pls pls send mail know relative coming deliver know benefit
1751,ham,guess want watch
1752,ham,r prison luis good bt forgot model
1753,ham,boy best quick
1754,ham,time tell friend
1755,ham,babe happened come came
1756,ham,tension face smiling face waste face innocent face face face face face face
1757,ham,mm time dont like fun
1758,ham,need tim follow hurt lot tol
1759,ham,ready excellent sub face
1760,ham,broke small
1761,ham,alex nichols middle school turn
1762,ham,electricity went
1763,ham,u going
1764,ham,available source june
1765,ham,ran younger pretty baby
1766,ham,stop thinking ask macho
1767,ham,tonight babe
1768,ham,lesson u home lia den confirm w
1769,ham,move 6hrs
1770,ham,yeah bit swing tomorrow
1771,ham,tell co finish film
1772,ham,check half
1773,ham,dude u know gun
1774,ham,looked eddie go suck
1775,ham,tomorrow care sweet
1776,ham,ok way railway
1777,ham,u posted
1778,ham,pls today dont want excuse
1779,ham,u find sitter sick slept day
1780,ham,lol wtf btw lunch break
1781,ham,yeah impression got
1782,ham,dont angry practice real
1783,ham,putting ready time
1784,ham,unnecessarily affectionate
1785,ham,oh k big good
1786,ham,guess spent night phasing fourth dimension
1787,ham,sent de webadres getting salary slip
1788,ham,thanks appreciate sure process direct pay find way test class wonderful
1789,ham,course upload song
1790,ham,haha minute
1791,ham,dont know drink
1792,ham,test appreciate
1793,ham,doc gave pain men say
1794,ham,promise gotten dinner
1795,ham,find s jun merely silent promise say gudnyt
1796,ham,hai dear new present rajitha raj
1797,ham,hey gorgeous work mobile number good squash
1798,ham,thanks gun
1799,ham,hey salary
1800,ham,said right single saw u possibly person2die think
1801,ham,meeting u tel shall work tomorrow
1802,ham,course tease know simply posted prey
1803,ham,yes want catch big strong
1804,ham,maybe leave credit card gas like told
1805,ham,sent email log usc payment send message explain thing great
1806,ham,yard left bt inn undue ly ali hall ke bilo ly nt large left new
1807,ham,tell female throwing deciding
1808,ham,arm cardiff
1809,ham,ard wat time u
1810,ham,peter boy friendsare thekingshead come canoe nic
1811,ham,miss voodoo wish sleep bed lonely sleep dream love
1812,ham,love hear
1813,ham,hi hope u r said text u seen let gently
1814,ham,lol mad woke gave
1815,ham,found diff farm shop buy way
1816,ham,co said persevered found cheap apologise sleep isnt
1817,ham,jus finished avatar negro
1818,ham,oh write movie home
1819,ham,rakhesh ex rtm
1820,ham,good sign know track record reading woman
1821,ham,printer mean wine grooming
1822,ham,hurting n meaningful line compromised d end love compromised gun
1823,ham,yeah u
1824,ham,month vote birthday
1825,ham,ha ha popped loo
1826,ham,best watch cause drunk
1827,ham,double eviction week spiral michael good riddance
1828,ham,think role like
1829,ham,congratulation ore mo owo enjoy wish happy moment fro
1830,ham,pain catch
1831,ham,watching 2nd sweet miss u
1832,ham,reach morning
1833,ham,k actually guy meet sunoco right way
1834,ham,right wasnt phone number like
1835,ham,shoot big load
1836,ham,u sha seen u free
1837,ham,happy new dont mean intruder pls let know tuition paid semester semester thanks
1838,ham,happens r 2waste wat come ill medical able deliver basic currently shopping right medical insurance til friday thats major person guide right
1839,ham,hoping send rent dont reserve completely loan need hoping balance way till mid march hope pay
1840,ham,didnt work ok goodnight fix ready time wake dearly missed good night
1841,ham,bit long co accident divert brilliant weekend speak lot love
1842,ham,saying explicitly told nora know probably gonna bother
1843,ham,run away frm walk slowly kill u care stop
1844,ham,hey got half owe
1845,ham,schedule town
1846,ham,sorry finished
1847,ham,putting business picture open people think picture room hurt feel
1848,ham,time coming
1849,ham,dog wait till end day word run time cell
1850,ham,head left
1851,ham,dont guess
1852,ham,hey r u feeling hope feeling ill think damn iam latin federal lot luv xxxx
1853,ham,looking forward sex sleep
1854,ham,discus u
1855,ham,like love
1856,ham,yo friend asking working
1857,ham,sent send
1858,ham,theyre lot hospital medical place
1859,ham,somebody set website play hold em eve online spacebucks
1860,ham,let want house
1861,ham,heading busetop
1862,ham,reached home
1863,ham,r going
1864,ham,haha papa need drug
1865,ham,middle need lot tea soup kind
1866,ham,wine flowing
1867,ham,u ur tot u n
1868,ham,yeah gang ready
1869,ham,bring mini sheet bag
1870,ham,k need login
1871,ham,finally ready fyi
1872,ham,point hanging mr right main u happy
1873,ham,stopped ice cream
1874,ham,wan early outside won b home nova mind
1875,ham,general price let know want
1876,ham,lov hurt wil ur comfort lie gun ni8 sweet dream
1877,ham,sick needy want want slave want
1878,ham,good hope good maybe wake miss passionate kiss sea
1879,ham,stuff sell tell
1880,ham,find necessity imagine self u feel ur u ur wat abt think abt event missed irritated 4rd find u cant st goodmorning
1881,ham,hate turn fun shopping trip annoying day look
1882,ham,hope text meet let text reason beautiful
1883,ham,stomach trauma swear better lose
1884,ham,gh leg override
1885,ham,wake miss grave need
1886,ham,possible teach
1887,ham,mother passed away pray
1888,ham,ok bit u better eat smith feel
1889,ham,idea soon converted
1890,ham,gonna death gonna leave note say job avenge
1891,ham,day asked anand
1892,ham,need lar co si art
1893,ham,alright hooked guy
1894,ham,oh tonight
1895,ham,drive need write
1896,ham,sorry de went
1897,ham,num ela normal
1898,ham,dear got bus directly calcium
1899,ham,gotta drive sd butt
1900,ham,ok lor wat time u
1901,ham,friend want drive em probably
1902,ham,seriously hit light
1903,ham,good evening hope having nice wanted bring notice late paying rent past month pay felt inconsiderate nag great cost didnt speak recession wont able pay charge month asking ahead thank
1904,ham,hmm thinking
1905,ham,lololo ok time
1906,ham,come correct good looking figure
1907,ham,easy guess quick drink bit
1908,ham,fear painting homework quick culpa
1909,ham,got seventeen pound seven ml hope
1910,ham,ok come ur home half hour
1911,ham,bug jun walking home u late oso saw dat like din r u
1912,ham,enjoying care
1913,ham,ok number
1914,ham,ok great
1915,ham,plus said grille greet speak
1916,ham,docking chinchilla
1917,ham,person gonna ask
1918,ham,thx u guy
1919,ham,didnt complete gist
1920,ham,better catch let ask sell
1921,ham,im late tellmiss im way
1922,ham,checked heading drop stuff
1923,ham,depends individual lor e hair dressed pretty parent look u dunno wat
1924,ham,trying throw cliff
1925,ham,feel yesterday night wait til 2day night
1926,ham,know want question
1927,ham,hey need drink tea coffee
1928,ham,pls send company saibaba colony
1929,ham,ax im
1930,ham,love excited day spend
1931,ham,good afternoon loverboy go day luck come think sweet send love sea smile happy
1932,ham,ma story ma msg ma miracle hav blessed month ahead wish u merry
1933,ham,soon good hear omg missed sorry having problem provider thank thing
1934,ham,sun cant come earth send luv cloud cant come river send luv cant come meet send care msg gun eng
1935,ham,havent add u
1936,ham,multiply number independently count decimal point push decimal place like showed
1937,ham,know friend told
1938,ham,told coming
1939,ham,jus hope true missing co missing feel guilty
1940,ham,great aunt anniversary party taxon spring
1941,ham,oh diet flew window
1942,ham,today song dedicated song u dedicate send ur valuable find reply
1943,ham,know dad
1944,ham,im restaurant eating wanna
1945,ham,dont talk ok
1946,ham,need drug
1947,ham,k ill need sr model pls send mail id
1948,ham,went project centre
1949,ham,little darling far need coffee run believe time week
1950,ham,ask u meeting da ge tmr
1951,ham,missed tm night phone charge meeting friend shortly
1952,ham,eeeeee love barely stand
1953,ham,looking earn
1954,ham,yup elaboration safety aspect
1955,ham,dun b dun abt concentrate ur paper
1956,ham,woodland avenue parish telephone number
1957,ham,ok b u r think wot u want wot
1958,ham,home vl nice meet v
1959,ham,sad touch thanks style
1960,ham,sec think think
1961,ham,battery come getting gram
1962,ham,mean door
1963,ham,ok pro
1964,ham,thinking lifting
1965,ham,hair cream
1966,ham,send plus
1967,ham,hi send nice msg
1968,ham,met stranger choose long world friendship let friend gun
1969,ham,hey want col end cine bath hav steam bath
1970,ham,obviously people cool college life went home
1971,ham,screaming mean
1972,ham,come ur home
1973,ham,dont shall buy dear
1974,ham,machine gym wil come late
1975,ham,outside office
1976,ham,probably come
1977,ham,yar lor actually co da ge slow
1978,ham,working eye philosophy text u later bit free
1979,ham,gh hopefully asks ppl dont randomly
1980,ham,tell pain
1981,ham,thanks torch
1982,ham,gandhipuram walk cross cut right street road turn
1983,ham,gonna normal starting panic sorry seeing
1984,ham,nt joking seriously told
1985,ham,lovely night xxx
1986,ham,happy new hope having good semester
1987,ham,tell rob mack gf theater
1988,ham,sense foot
1989,ham,jus came fr lunch si u
1990,ham,probably money thing coming outstanding voice work month
1991,ham,know girl safe selfish know got thank good
1992,ham,lady genus second k
1993,ham,trust u buy new stuff asap try
1994,ham,pretty lady like
1995,ham,im time ordo truffle
1996,ham,need tell ring
1997,ham,new de ex game coming early yr
1998,ham,send id password
