U.S. Custom Ports,Coast,Year,ImportTons,ExportTons
"Ponce, PR",PR,2008,17.91,0.0
"Port Angeles, WA",P,2008,0.0,0.0
"Port Arthur, TX",G,2008,32.91,0.0
"Port Canaveral, FL",A,2008,249.56,111.25999999999999
"Port Everglades, FL",A,2008,281706.57999999996,389908.88
"Port Hueneme, CA",P,2008,16363.55,4621.62
"Port Manatee, FL",G,2008,4661.7,876.84
"Portland, ME",A,2008,6.0,0.0
"Portland, OR",P,2008,96843.94,101722.39000000001
"Portsmouth, NH",A,2008,4.69,0.0
"Salem, NJ",A,2008,0.0,0.0
"San Diego, CA",P,2008,46281.46,1955.84
"San Francisco, CA",P,2008,35.48,408.42999999999995
"San Juan, PR",PR,2008,155794.79999999996,57501.03
"Savannah, GA",A,2008,1088446.46,1032266.8499999999
"Seattle, WA",P,2008,658652.58,425136.27000000014
"Tacoma, WA",P,2008,651243.86,475754.80000000016
"Tampa, FL",G,2008,19599.55,11480.400000000001
"Vancouver, WA",P,2008,12.14,52.0
"West Palm Beach, FL",A,2008,30650.26,99988.80000000002
"Wilmington, DE",A,2008,134083.11,48796.920000000006
"Wilmington, NC",A,2008,88990.65000000001,59154.48000000001
"Aberdeen, WA",P,2009,2.0,2.0
"Anacortes, WA",P,2009,0.0,0.0
"Anchorage, AK",AK,2009,109.0,24920.460000000003
"Baltimore, MD",A,2009,228554.56000000008,177076.8400000001
"Baton Rouge, LA",G,2009,67.03999999999999,0.0
"Beaufort-Morehead City, NC",A,2009,0.0,0.0
"Beaumont, TX",G,2009,382.0,0.0
"Boston, MA",A,2009,83727.61000000003,64446.93999999997
"Brunswick, GA",A,2009,6.0,2.0
"Camden, NJ",A,2009,1822.95,9752.7
"Charleston, SC",A,2009,499557.63999999996,455277.63000000006
"Chester, PA",A,2009,34658.36,28999.54
"Corpus Christi, TX",G,2009,195.0,9.29
"Everett, WA",P,2009,2728.63,2265.06
"Fernandina Beach, FL",A,2009,769.0000000000001,11838.209999999997
"Fort Pierce, FL",A,2009,4247.53,8470.05
"Freeport, TX",G,2009,35370.16,22318.560000000005
"Galveston, TX",G,2009,6015.97,2526.32
"Gloucester City, NJ",A,2009,853.63,1.0
"Gramercy, LA",G,2009,475.28,143.56
"Gulfport, MS",G,2009,100172.28,58461.61
"Honolulu, HI",HI,2009,17940.520000000004,12452.73
"Houston, TX",G,2009,481703.2200000001,773449.8900000001
"Jacksonville, FL",A,2009,76410.18999999997,107143.84000000003
"Kodiak, AK",AK,2009,0.0,104.78999999999999
"Lake Charles, LA",G,2009,152.10000000000002,1060.67
"Long Beach, CA",P,2009,2499560.980000001,1233108.7399999995
"Longview, WA",P,2009,96.67,12.25
"Los Angeles, CA",P,2009,3506696.429999999,1517436.9299999997
"Mayaguez, PR",PR,2009,5581.38,3129.15
"Miami, FL",A,2009,287082.55999999994,339306.2500000003
"Mobile, AL",G,2009,34838.01999999999,52706.70000000002
"New Orleans, LA",G,2009,74843.32000000002,155595.77
"New York, NY",A,2009,2288443.349999999,1246388.3199999994
"Newport News, VA",A,2009,77.08,230.69
"Norfolk, VA",A,2009,677798.3699999998,698141.4400000001
"Oakland, CA",P,2009,640796.2799999999,740239.8599999995
"Panama City, FL",G,2009,16305.55,14835.490000000002
"Pensacola, FL",G,2009,0.0,0.0
"Pensauken, NJ",A,2009,0.0,238.43
"Philadelphia, PA",A,2009,143752.19999999998,36288.12000000001
"Ponce, PR",PR,2009,26.92,0.0
"Port Angeles, WA",P,2009,0.0,28.25
"Port Arthur, TX",G,2009,303.14,3.0
"Port Canaveral, FL",A,2009,139.35,0.04
"Port Everglades, FL",A,2009,220056.90999999992,313707.88
"Port Hueneme, CA",P,2009,15926.41,3459.12
"Port Manatee, FL",G,2009,13648.69,2651.0499999999997
"Portland, ME",A,2009,0.0,0.0
"Portland, OR",P,2009,68807.15999999999,86437.93999999999
"Portsmouth, NH",A,2009,9.3,0.0
"Salem, NJ",A,2009,0.0,0.0
"San Diego, CA",P,2009,47943.02,1315.01
"San Francisco, CA",P,2009,8.709999999999999,0.0
"San Juan, PR",PR,2009,153130.08,60047.009999999995
"Savannah, GA",A,2009,913236.5899999997,1001265.6600000001
"Seattle, WA",P,2009,622044.2199999999,450683.31000000006
"Tacoma, WA",P,2009,457963.2000000001,413449.8599999999
"Tampa, FL",G,2009,19016.03,19689.859999999993
"Vancouver, WA",P,2009,101.34,53.0
"West Palm Beach, FL",A,2009,26037.349999999988,83884.98000000001
"Wilmington, DE",A,2009,129152.36999999998,34530.98000000001
"Wilmington, NC",A,2009,96825.46,88132.24999999999
"Aberdeen, WA",P,2010,0.0,29.65
"Anacortes, WA",P,2010,0.0,0.0
"Anchorage, AK",AK,2010,34.019999999999996,27268.83
"Baltimore, MD",A,2010,280093.09,167602.37000000002
"Baton Rouge, LA",G,2010,390.06,0.0
"Beaufort-Morehead City, NC",A,2010,26.0,0.0
"Beaumont, TX",G,2010,472.41,51.0
"Boston, MA",A,2010,79871.60000000005,43845.8
"Brunswick, GA",A,2010,83.75,152.0
"Camden, NJ",A,2010,50.88,8067.379999999999
"Charleston, SC",A,2010,548276.09,520748.4399999999
"Chester, PA",A,2010,45767.880000000005,37188.55
"Corpus Christi, TX",G,2010,241.45,27.869999999999997
"Everett, WA",P,2010,2610.26,2938.84
"Fernandina Beach, FL",A,2010,682.91,14699.000000000004
"Fort Pierce, FL",A,2010,3061.5400000000004,8695.16
"Freeport, TX",G,2010,31601.469999999998,25648.170000000002
"Galveston, TX",G,2010,8037.13,2790.46
"Gloucester City, NJ",A,2010,5249.47,1262.56
"Gramercy, LA",G,2010,655.61,151.13
"Gulfport, MS",G,2010,104849.51000000001,76485.40999999999
"Honolulu, HI",HI,2010,18023.729999999992,11252.56
"Houston, TX",G,2010,519246.6999999999,827066.4900000003
"Jacksonville, FL",A,2010,92617.32999999999,145810.00000000003
"Kodiak, AK",AK,2010,0.0,0.0
"Lake Charles, LA",G,2010,542.36,1781.9900000000002
"Long Beach, CA",P,2010,3050893.350000001,1385405.7799999998
"Longview, WA",P,2010,233.44,0.0
"Los Angeles, CA",P,2010,3880571.830000001,1681092.65
"Mayaguez, PR",PR,2010,6163.17,4813.76
"Miami, FL",A,2010,308155.61,374106.6299999998
"Mobile, AL",G,2010,35152.37000000001,47477.1
"New Orleans, LA",G,2010,78433.17000000001,202565.05999999994
"New York, NY",A,2010,2623860.879999997,1420262.8100000003
"Newport News, VA",A,2010,21.0,0.0
"Norfolk, VA",A,2010,721369.3399999996,713840.3100000002
"Oakland, CA",P,2010,739322.8599999996,765875.7699999996
"Panama City, FL",G,2010,14555.95,14467.420000000002
"Pensacola, FL",G,2010,0.0,0.0
"Pensauken, NJ",A,2010,157.69,217.75
"Philadelphia, PA",A,2010,143602.9999999999,42318.390000000014
"Ponce, PR",PR,2010,4.970000000000001,0.0
"Port Angeles, WA",P,2010,6.0,0.0
"Port Arthur, TX",G,2010,188.86,2.0
"Port Canaveral, FL",A,2010,176.0,0.0
"Port Everglades, FL",A,2010,242344.72000000006,330728.51999999996
"Port Hueneme, CA",P,2010,18272.41,6173.110000000001
"Port Manatee, FL",G,2010,11706.64,3276.3199999999997
"Portland, ME",A,2010,0.0,0.0
"Portland, OR",P,2010,68806.15000000001,61444.69
"Portsmouth, NH",A,2010,27.58,0.0
"Salem, NJ",A,2010,0.0,0.0
"San Diego, CA",P,2010,49930.52999999999,1408.78
"San Francisco, CA",P,2010,19.3,1.0
"San Juan, PR",PR,2010,153247.7799999999,65042.22999999999
"Savannah, GA",A,2010,1055072.3600000003,1115149.93
"Seattle, WA",P,2010,888102.6000000002,528808.7099999998
"Tacoma, WA",P,2010,495600.13999999984,339796.85
"Tampa, FL",G,2010,23081.66,8040.760000000001
"Vancouver, WA",P,2010,569.46,769.14
"West Palm Beach, FL",A,2010,23509.950000000004,86641.38
"Wilmington, DE",A,2010,132496.21000000002,23961.27
"Wilmington, NC",A,2010,115006.29000000004,91295.10999999999
"Aberdeen, WA",P,2011,2.42,86.8
"Anacortes, WA",P,2011,0.04,25.04
"Anchorage, AK",AK,2011,216.95999999999998,37886.13
"Baltimore, MD",A,2011,304500.76000000007,167822.75
"Baton Rouge, LA",G,2011,144.52,436.22999999999996
"Beaufort-Morehead City, NC",A,2011,36.17,0.0
"Beaumont, TX",G,2011,387.2,6.01
"Boston, MA",A,2011,97357.30999999997,51533.280000000006
"Brunswick, GA",A,2011,115.9,79.18
"Camden, NJ",A,2011,55.42,2785.84
"Charleston, SC",A,2011,601878.5600000002,545290.8400000001
"Chester, PA",A,2011,46903.87,35241.99999999999
"Corpus Christi, TX",G,2011,379.59000000000003,0.0
"Everett, WA",P,2011,4311.66,4652.17
"Fernandina Beach, FL",A,2011,711.27,8042.2699999999995
"Fort Pierce, FL",A,2011,3582.28,9400.83
"Freeport, TX",G,2011,29608.87,21923.82
"Galveston, TX",G,2011,11427.159999999998,2567.88
"Gloucester City, NJ",A,2011,6242.0,5307.64
"Gramercy, LA",G,2011,494.03999999999996,154.19
"Gulfport, MS",G,2011,107874.57,75201.32
"Honolulu, HI",HI,2011,17466.51,12502.19
"Houston, TX",G,2011,559315.6199999998,859111.6199999998
"Jacksonville, FL",A,2011,117009.13000000002,160375.91
"Kodiak, AK",AK,2011,0.0,495.07
"Lake Charles, LA",G,2011,664.91,656.11
"Long Beach, CA",P,2011,3023922.47,1294355.4600000002
"Longview, WA",P,2011,41.37,870.08
"Los Angeles, CA",P,2011,4057418.619999999,1953606.6000000003
"Mayaguez, PR",PR,2011,4745.31,1957.76
"Miami, FL",A,2011,345972.2899999999,387719.35000000003
"Mobile, AL",G,2011,54558.31999999999,53373.87
"New Orleans, LA",G,2011,86692.51000000001,220430.98999999993
"New York, NY",A,2011,2722780.8499999996,1541731.2999999996
"Newport News, VA",A,2011,80.52,589.92
"Norfolk, VA",A,2011,726910.1799999998,755703.2100000002
"Oakland, CA",P,2011,740123.3900000001,798861.1699999998
"Panama City, FL",G,2011,19259.82,14724.41
"Pensacola, FL",G,2011,0.0,68.09
"Pensauken, NJ",A,2011,0.0,1295.35
"Philadelphia, PA",A,2011,157076.61999999997,46353.38000000002
"Ponce, PR",PR,2011,0.03,0.0
"Port Angeles, WA",P,2011,0.0,37.0
"Port Arthur, TX",G,2011,70.37,4.0
"Port Canaveral, FL",A,2011,694.32,0.0
"Port Everglades, FL",A,2011,253884.81,363008.62000000005
"Port Hueneme, CA",P,2011,17590.48,4972.7
"Port Manatee, FL",G,2011,6105.349999999999,3808.73
"Portland, ME",A,2011,342.85,183.0
"Portland, OR",P,2011,74134.20000000001,79833.4
"Portsmouth, NH",A,2011,16.0,0.0
"Salem, NJ",A,2011,0.0,0.0
"San Diego, CA",P,2011,49574.43,2209.68
"San Francisco, CA",P,2011,168.30999999999997,0.0
"San Juan, PR",PR,2011,156029.13999999996,35972.22
"Savannah, GA",A,2011,1073115.0499999996,1212297.5099999998
"Seattle, WA",P,2011,772656.4799999997,591127.09
"Tacoma, WA",P,2011,519954.81,365810.8599999999
"Tampa, FL",G,2011,17580.690000000002,8255.57
"Vancouver, WA",P,2011,307.37,352.0
"West Palm Beach, FL",A,2011,22886.74999999999,81326.31000000001
"Wilmington, DE",A,2011,141328.65,21061.68
"Wilmington, NC",A,2011,119525.62,108336.84000000001
"Aberdeen, WA",P,2012,75.31,3.0
"Anacortes, WA",P,2012,0.0,0.0
"Anchorage, AK",AK,2012,298.98,35073.0
"Baltimore, MD",A,2012,319662.32999999996,195602.29999999993
"Baton Rouge, LA",G,2012,3.0,0.0
"Beaufort-Morehead City, NC",A,2012,7.81,4.0
"Beaumont, TX",G,2012,1100.46,40.0
"Boston, MA",A,2012,95242.79999999999,57602.34999999999
"Brunswick, GA",A,2012,55.29,1362.7900000000002
"Camden, NJ",A,2012,36.0,1935.22
"Charleston, SC",A,2012,649376.87,567087.7700000001
"Chester, PA",A,2012,27587.789999999997,38125.82
"Corpus Christi, TX",G,2012,1050.8600000000001,17.0
"Everett, WA",P,2012,676.61,2701.6099999999997
"Fernandina Beach, FL",A,2012,307.35,5154.920000000001
"Fort Pierce, FL",A,2012,2149.6,4964.53
"Freeport, TX",G,2012,34235.20000000001,26582.55
"Galveston, TX",G,2012,8517.239999999998,4091.5800000000004
"Gloucester City, NJ",A,2012,3425.6,4407.05
"Gramercy, LA",G,2012,251.15,111.58
"Gulfport, MS",G,2012,103029.59000000001,73218.35999999999
"Honolulu, HI",HI,2012,18155.350000000006,7711.34
"Houston, TX",G,2012,618890.7699999999,875625.2300000002
"Jacksonville, FL",A,2012,127402.63000000002,153715.16
"Kodiak, AK",AK,2012,0.0,980.0
"Lake Charles, LA",G,2012,671.93,1078.52
"Long Beach, CA",P,2012,3046363.399999999,1284118.9399999992
"Longview, WA",P,2012,17.03,396.0
"Los Angeles, CA",P,2012,4068234.8800000027,1870219.48
"Mayaguez, PR",PR,2012,4560.72,0.0
"Miami, FL",A,2012,354701.8900000001,366142.64
"Mobile, AL",G,2012,59743.170000000006,92394.25000000001
"New Orleans, LA",G,2012,80051.57,219817.0400000001
"New York, NY",A,2012,2777360.04,1469408.5599999994
"Newport News, VA",A,2012,213.43,0.0
"Norfolk, VA",A,2012,817486.37,829063.3600000002
"Oakland, CA",P,2012,748807.2799999997,792776.73
"Panama City, FL",G,2012,18698.589999999997,15225.88
"Pensacola, FL",G,2012,0.0,370.88
"Pensauken, NJ",A,2012,0.0,724.21
"Philadelphia, PA",A,2012,185695.1999999999,47483.27
"Ponce, PR",PR,2012,72.4,0.0
"Port Angeles, WA",P,2012,2.0,0.0
"Port Arthur, TX",G,2012,311.53000000000003,31.68
"Port Canaveral, FL",A,2012,481.27000000000004,12.7
"Port Everglades, FL",A,2012,266278.41000000003,378530.7099999998
"Port Hueneme, CA",P,2012,47685.79000000001,5602.089999999999
"Port Manatee, FL",G,2012,7991.69,3570.21
"Portland, ME",A,2012,206.04000000000002,57.0
"Portland, OR",P,2012,62643.77,89639.01999999997
"Portsmouth, NH",A,2012,90.22,0.0
"Salem, NJ",A,2012,0.0,0.0
"San Diego, CA",P,2012,51861.490000000005,1767.8100000000002
"San Francisco, CA",P,2012,460.7899999999999,217.69000000000003
"San Juan, PR",PR,2012,159610.42999999993,14963.67
"Savannah, GA",A,2012,1076004.8399999996,1212019.56
"Seattle, WA",P,2012,726430.3600000001,513827.41
"Tacoma, WA",P,2012,649103.94,442634.18000000005
"Tampa, FL",G,2012,18587.030000000002,10279.61
"Vancouver, WA",P,2012,181.17000000000002,159.25
"West Palm Beach, FL",A,2012,26212.47000000001,91385.63999999998
"Wilmington, DE",A,2012,160158.90000000002,33829.810000000005
"Wilmington, NC",A,2012,111438.18,91577.24000000003
"Aberdeen, WA",P,2013,63.87,469.0
"Anacortes, WA",P,2013,1.0,0.0
"Anchorage, AK",AK,2013,465.33,9466.66
"Baltimore, MD",A,2013,334413.76,201679.08
"Baton Rouge, LA",G,2013,96.51,0.0
"Beaufort-Morehead City, NC",A,2013,0.0,0.0
"Beaumont, TX",G,2013,133.51,0.0
"Boston, MA",A,2013,96953.99,64461.19
"Brunswick, GA",A,2013,72.0,209.04
"Camden, NJ",A,2013,0.0,0.0
"Charleston, SC",A,2013,665972.27,625625.44
"Chester, PA",A,2013,41901.08,25093.18
"Corpus Christi, TX",G,2013,7.35,4.73
"Everett, WA",P,2013,1824.04,524.13
"Fernandina Beach, FL",A,2013,343.61,3472.41
"Fort Pierce, FL",A,2013,39.2,0.0
"Freeport, TX",G,2013,46986.19,26694.72
"Galveston, TX",G,2013,13999.12,5380.98
"Gloucester City, NJ",A,2013,10473.03,3269.52
"Gramercy, LA",G,2013,1.0,0.0
"Gulfport, MS",G,2013,96999.46,74305.2
"Honolulu, HI",HI,2013,20242.78,39747.55
"Houston, TX",G,2013,654790.23,916987.66
"Jacksonville, FL",A,2013,240449.81,512909.59
"Kodiak, AK",AK,2013,0.0,1034.76
"Lake Charles, LA",G,2013,8.31,755.22
"Long Beach, CA",P,2013,3444680.24,1518246.46
"Longview, WA",P,2013,3.0,3213.64
"Los Angeles, CA",P,2013,3924611.94,1736914.18
"Mayaguez, PR",PR,2013,3024.04,0.0
"Miami, FL",A,2013,351724.09,359663.43
"Mobile, AL",G,2013,68721.14,101323.78
"New Orleans, LA",G,2013,81003.63,220039.98
"New York, NY",A,2013,2787511.41,1409510.02
"Newport News, VA",A,2013,494.24,0.0
"Norfolk, VA",A,2013,900291.9,933952.89
"Oakland, CA",P,2013,771920.69,835672.97
"Panama City, FL",G,2013,17686.38,18158.07
"Pensacola, FL",G,2013,53.25,37.15
"Pensauken, NJ",A,2013,15215.65,37647.71
"Philadelphia, PA",A,2013,186504.29,94217.1
"Ponce, PR",PR,2013,137.8,0.0
"Port Angeles, WA",P,2013,14.51,73.25
"Port Arthur, TX",G,2013,69.36,0.0
"Port Canaveral, FL",A,2013,125.46,0.0
"Port Everglades, FL",A,2013,308955.01,386075.85
"Port Hueneme, CA",P,2013,49360.93,4404.91
"Port Manatee, FL",G,2013,6387.5,4195.11
"Portland, ME",A,2013,2998.13,0.0
"Portland, OR",P,2013,72854.2,71282.58
"Portsmouth, NH",A,2013,39.28,0.0
"Salem, NJ",A,2013,0.0,0.0
"San Diego, CA",P,2013,48438.41,2214.74
"San Francisco, CA",P,2013,92.82,0.0
"San Juan, PR",PR,2013,162381.0,22341.7
"Savannah, GA",A,2013,1145521.45,1217651.35
"Seattle, WA",P,2013,544964.15,454134.25
"Tacoma, WA",P,2013,733072.17,530147.05
"Tampa, FL",G,2013,19870.82,10444.66
"Vancouver, WA",P,2013,779.27,234.75
"West Palm Beach, FL",A,2013,29170.71,123619.39
"Wilmington, DE",A,2013,166822.71,26990.75
"Wilmington, NC",A,2013,106492.13,113889.62
"Aberdeen, WA",P,2014,7.0,9.5
"Anacortes, WA",P,2014,0.0,138.75
"Anchorage, AK",AK,2014,995.29,412.0
"Baltimore, MD",A,2014,349343.71,188957.34
"Baton Rouge, LA",G,2014,4.0,4.0
"Beaufort-Morehead City, NC",A,2014,73.5,0.0
"Beaumont, TX",G,2014,8.74,49.75
"Boston, MA",A,2014,105306.01,74194.89
"Brunswick, GA",A,2014,311.48,693.71
"Camden, NJ",A,2014,167.74,0.0
"Charleston, SC",A,2014,742906.27,682501.42
"Chester, PA",A,2014,58049.66,35167.85
"Corpus Christi, TX",G,2014,0.0,0.0
"Everett, WA",P,2014,1507.17,659.75
"Fernandina Beach, FL",A,2014,460.5,3125.52
"Fort Pierce, FL",A,2014,1.0,0.0
"Freeport, TX",G,2014,35701.66,25158.93
"Galveston, TX",G,2014,14149.08,6062.58
"Gloucester City, NJ",A,2014,24218.55,1828.69
"Gramercy, LA",G,2014,0.0,0.0
"Gulfport, MS",G,2014,87420.14,61801.57
"Honolulu, HI",HI,2014,23313.47,38182.19
"Houston, TX",G,2014,752896.74,879451.78
"Jacksonville, FL",A,2014,262829.06,496680.13
"Kodiak, AK",AK,2014,0.0,290.0
"Lake Charles, LA",G,2014,1.75,1.0
"Long Beach, CA",P,2014,3538195.34,1396529.69
"Longview, WA",P,2014,0.0,338.0
"Los Angeles, CA",P,2014,4189035.2,1705126.69
"Mayaguez, PR",PR,2014,1003.56,0.0
"Miami, FL",A,2014,344066.04,330844.33
"Mobile, AL",G,2014,70087.3,103357.16
"New Orleans, LA",G,2014,92826.13,237631.6
"New York, NY",A,2014,2922713.91,1354110.41
"Newport News, VA",A,2014,1201.19,2872.5
"Norfolk, VA",A,2014,981188.98,950356.95
"Oakland, CA",P,2014,824441.17,784521.77
"Panama City, FL",G,2014,16281.68,10402.3
"Pensacola, FL",G,2014,24.07,0.0
"Pensauken, NJ",A,2014,13889.95,33399.21
"Philadelphia, PA",A,2014,189732.25,101124.75
"Ponce, PR",PR,2014,2.0,0.0
"Port Angeles, WA",P,2014,12.25,106.0
"Port Arthur, TX",G,2014,206.0,0.0
"Port Canaveral, FL",A,2014,11.0,0.0
"Port Everglades, FL",A,2014,334607.87,421993.66
"Port Hueneme, CA",P,2014,47290.96,6880.06
"Port Manatee, FL",G,2014,8908.03,3134.84
"Portland, ME",A,2014,5218.4,0.0
"Portland, OR",P,2014,73889.46,56871.02
"Portsmouth, NH",A,2014,1.75,0.0
"Salem, NJ",A,2014,0.0,0.0
"San Diego, CA",P,2014,53060.0,2417.54
"San Francisco, CA",P,2014,4.0,1610.97
"San Juan, PR",PR,2014,151494.02,21267.33
"Savannah, GA",A,2014,1346023.96,1251902.18
"Seattle, WA",P,2014,424558.68,357449.82
"Tacoma, WA",P,2014,817696.91,518794.14
"Tampa, FL",G,2014,24050.66,13670.21
"Vancouver, WA",P,2014,1159.59,462.26
"West Palm Beach, FL",A,2014,39264.88,125601.75
"Wilmington, DE",A,2014,170595.34,24250.01
"Wilmington, NC",A,2014,114021.06,117023.93
"Aberdeen, WA",P,2015,0.0,0.0
"Anacortes, WA",P,2015,0.0,0.0
"Anchorage, AK",AK,2015,1527.77,616.0
"Baltimore, MD",A,2015,387313.0,203439.4
"Baton Rouge, LA",G,2015,1.75,0.0
"Beaufort-Morehead City, NC",A,2015,0.0,0.0
"Beaumont, TX",G,2015,1.75,272.63
"Boston, MA",A,2015,114834.12,75518.1
"Brunswick, GA",A,2015,380.37,1099.33
"Camden, NJ",A,2015,0.0,0.0
"Charleston, SC",A,2015,831750.15,721828.03
"Chester, PA",A,2015,65219.36,32999.92
"Corpus Christi, TX",G,2015,91.99,87.0
"Everett, WA",P,2015,3914.62,1029.01
"Fernandina Beach, FL",A,2015,154.75,3034.5
"Fort Pierce, FL",A,2015,0.0,0.0
"Freeport, TX",G,2015,32896.78,38760.22
"Galveston, TX",G,2015,17487.31,4640.46
"Gloucester City, NJ",A,2015,30718.52,4348.0
"Gramercy, LA",G,2015,0.0,0.0
"Gulfport, MS",G,2015,65944.6,49230.86
"Honolulu, HI",HI,2015,22094.29,36140.66
"Houston, TX",G,2015,842739.82,918112.18
"Jacksonville, FL",A,2015,270324.82,486321.41
"Kodiak, AK",AK,2015,0.0,1418.0
"Lake Charles, LA",G,2015,3.5,38.0
"Long Beach, CA",P,2015,3620576.82,1286251.62
"Longview, WA",P,2015,0.0,299.25
"Los Angeles, CA",P,2015,3980831.76,1493035.19
"Mayaguez, PR",PR,2015,0.0,0.0
"Miami, FL",A,2015,408253.12,363235.41
"Mobile, AL",G,2015,81911.81,100544.56
"New Orleans, LA",G,2015,114024.19,252105.67
"New York, NY",A,2015,3190552.15,1329646.45
"Newport News, VA",A,2015,1950.78,1873.79
"Norfolk, VA",A,2015,1042137.54,923240.14
"Oakland, CA",P,2015,814966.55,707928.26
"Panama City, FL",G,2015,14765.2,11321.45
"Pensacola, FL",G,2015,5.25,0.0
"Pensauken, NJ",A,2015,19415.0,47024.25
"Philadelphia, PA",A,2015,207310.9,70107.61
"Ponce, PR",PR,2015,0.0,0.0
"Port Angeles, WA",P,2015,11.0,0.0
"Port Arthur, TX",G,2015,0.0,0.0
"Port Canaveral, FL",A,2015,119.98,0.0
"Port Everglades, FL",A,2015,320321.87,415853.87
"Port Hueneme, CA",P,2015,44019.97,10193.97
"Port Manatee, FL",G,2015,17149.28,7452.15
"Portland, ME",A,2015,0.0,0.0
"Portland, OR",P,2015,7365.28,7703.5
"Portsmouth, NH",A,2015,0.0,0.0
"Salem, NJ",A,2015,0.0,0.0
"San Diego, CA",P,2015,57267.26,2907.24
"San Francisco, CA",P,2015,5.75,218.25
"San Juan, PR",PR,2015,166137.48,18295.75
"Savannah, GA",A,2015,1607782.57,1211913.42
"Seattle, WA",P,2015,474495.31,336384.15
"Tacoma, WA",P,2015,829352.98,505412.53
"Tampa, FL",G,2015,28054.59,10351.6
"Vancouver, WA",P,2015,1836.16,915.5
"West Palm Beach, FL",A,2015,29863.44,134164.42
"Wilmington, DE",A,2015,164911.64,29617.53
"Wilmington, NC",A,2015,124698.45,107419.82
"Aberdeen, WA",P,2016,1.75,0.0
"Anacortes, WA",P,2016,0.0,0.0
"Anchorage, AK",AK,2016,1703.76,1854.99
"Baltimore, MD",A,2016,423628.8,226171.32
"Baton Rouge, LA",G,2016,0.0,0.0
"Beaufort-Morehead City, NC",A,2016,0.0,0.0
"Beaumont, TX",G,2016,374.5,4.0
"Boston, MA",A,2016,121039.85,84329.85
"Brunswick, GA",A,2016,101.8,71.5
"Camden, NJ",A,2016,0.0,0.0
"Charleston, SC",A,2016,885264.1,728164.72
"Chester, PA",A,2016,75994.3,35941.45
"Corpus Christi, TX",G,2016,3.5,0.0
"Everett, WA",P,2016,1228.08,548.26
"Fernandina Beach, FL",A,2016,101.0,3607.7
"Fort Pierce, FL",A,2016,0.0,0.0
"Freeport, TX",G,2016,31096.13,35620.71
"Galveston, TX",G,2016,17570.24,5909.32
"Gloucester City, NJ",A,2016,31377.13,3309.64
"Gramercy, LA",G,2016,0.0,0.0
"Gulfport, MS",G,2016,79435.5,45530.95
"Honolulu, HI",HI,2016,22495.26,39180.57
"Houston, TX",G,2016,894429.22,916451.14
"Jacksonville, FL",A,2016,296607.54,476200.38
"Kodiak, AK",AK,2016,0.0,1656.0
"Lake Charles, LA",G,2016,770.0,0.0
"Long Beach, CA",P,2016,3419435.24,1278046.12
"Longview, WA",P,2016,5.25,0.0
"Los Angeles, CA",P,2016,4494118.31,1627036.92
"Mayaguez, PR",PR,2016,0.0,0.0
"Miami, FL",A,2016,417746.9,361051.81
"Mobile, AL",G,2016,100574.37,117520.22
"New Orleans, LA",G,2016,111821.2,261289.13
"New York, NY",A,2016,3196616.66,1302420.04
"Newport News, VA",A,2016,2806.19,4209.53
"Norfolk, VA",A,2016,1155218.83,934108.1
"Oakland, CA",P,2016,856406.65,811059.52
"Panama City, FL",G,2016,13670.47,8581.75
"Pensacola, FL",G,2016,5.24,0.0
"Pensauken, NJ",A,2016,18080.95,45146.9
"Philadelphia, PA",A,2016,230100.15,69223.75
"Ponce, PR",PR,2016,0.0,0.0
"Port Angeles, WA",P,2016,0.0,0.0
"Port Arthur, TX",G,2016,145.25,0.0
"Port Canaveral, FL",A,2016,1871.51,1.75
"Port Everglades, FL",A,2016,337253.18,419466.05
"Port Hueneme, CA",P,2016,45585.13,11301.06
"Port Manatee, FL",G,2016,17460.37,6112.46
"Portland, ME",A,2016,7749.49,0.0
"Portland, OR",P,2016,193.28,1634.75
"Portsmouth, NH",A,2016,0.0,245.09
"Salem, NJ",A,2016,0.0,2296.17
"San Diego, CA",P,2016,69008.12,2306.76
"San Francisco, CA",P,2016,2.0,3.5
"San Juan, PR",PR,2016,168506.1,30106.01
"Savannah, GA",A,2016,1664823.15,1225839.96
"Seattle, WA",P,2016,496483.96,340594.42
"Tacoma, WA",P,2016,912673.19,611081.35
"Tampa, FL",G,2016,26634.35,10255.69
"Vancouver, WA",P,2016,970.79,1158.75
"West Palm Beach, FL",A,2016,27979.59,130909.16
"Wilmington, DE",A,2016,172402.92,30956.01
"Wilmington, NC",A,2016,102608.41,104910.91
"Aberdeen, WA",P,2017,0.0,1.75
"Anacortes, WA",P,2017,0.0,0.0
"Anchorage, AK",AK,2017,1787.03,1721.0
"Baltimore, MD",A,2017,468100.25,234796.97
"Baton Rouge, LA",G,2017,0.0,0.0
"Beaufort-Morehead City, NC",A,2017,0.0,0.0
"Beaumont, TX",G,2017,10.5,0.0
"Boston, MA",A,2017,132399.38,78793.83
"Brunswick, GA",A,2017,0.0,684.87
"Camden, NJ",A,2017,0.0,0.0
"Charleston, SC",A,2017,946790.15,778993.52
"Chester, PA",A,2017,93469.75,35247.33
"Corpus Christi, TX",G,2017,237.99,4.0
"Everett, WA",P,2017,1106.17,0.0
"Fernandina Beach, FL",A,2017,328.27,3913.32
"Fort Pierce, FL",A,2017,0.0,0.0
"Freeport, TX",G,2017,31140.59,33848.46
