,Accident Level,Potential Accident Level,Description,clean_description
92,1,1,"During the trip to the vehicle, at the end of the work, the collaborator Rhainer stepped on an object that he could not identify, thus coming to pierce the sole of the boot and causing a small hole in the sole of the left foot of the collaborator. The perforation was possibly due to a stump of wood, since the area covered by the collaborator, was a pasture grazed recently and near a residence.",during the trip the vehicle the end the work the collaborator rainer step object that could not identify thus come pierce the sole the boot and cause small hole the sole the leave foot the collaborator the perforation possibly due stump wood since the area cover the collaborator pasture graze recently and near residence
93,1,2,"In the workshop level -970 in Box # 1, while TWO the mechanics manipulated a steel plate - 60cm x40cm x 2.5cm; 50 Kg - to place it in the gutter of the workshop and be able to remove the Scaler # 142, the plate slides and restricts the right ring finger between the gable and the plate causing the injury. The collaborator used gloves at the time of the accident",the workshop level box while the mechanics manipulate steel plate place the gutter the workshop and able remove the scale the plate slide and restrict the right ring finger between the gable and the plate cause the injury the collaborator use gloves the time the accident
94,3,4,"When it opens the suction valve of the 420-BO-01 acid pump, the cable of the same pump comes loose by pressing the 5th finger of the employee's left hand against the tubing, causing a fracture in the distal phalanx. Photos",when open the suction valve the acid pump the cable the same pump come loose press the finger the employee leave hand against the tube cause fracture the distal phalanx photos
95,1,3,"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure.",the worker carry out the disassembly scaffold body the pulpomatic the thickened the dismantle the base the scaffold locate approximately one meter high from the floor the sump the rivet the anchor support the platform break cause the fall the worker and impact the right knee with the support that anchor one the horizontals the scaffold structure
96,1,3,Employee reports that when handling the air conditioning pressed the 2nd right chirodactilo causing a contusion.,employee report that when handle the air condition press the right chirodactilo cause contusion
97,1,2,"After parking a van next to a cluster of wooden sleepers and boards, the driver, on descending, stepped on a board in which an iron nail protruded 11/2 ""long, which he did not identify as the board was submerged in a puddle of water. This accident caused a minor wound on the sole of the left foot. At the time of the accident the worker was wearing safety boots.",after park van next cluster wooden sleepers and board the driver descend step board which iron nail protrude long which not identify the board submerge puddle water this accident cause minor wind the sole the leave foot the time the accident the worker wear safety boot
98,1,4,"During the maintenance of the locomotive N ° 16 in the workshop of level -1170, the assistant when pulling the locomotive chair backwards stumbles against the ventilation grille, falling on the platform of the locomotive and then to the floor of the workshop from a height 1.17m generating the injury. At the time of the accident the assistant used his safety helmet and chin strap.",during the maintenance the locomotive the workshop level the assistant when pull the locomotive chair backwards stumble against the ventilation grille fall the platform the locomotive and then the floor the workshop from height generate the injury the time the accident the assistant use his safety helmet and chin strap
99,1,4,"Once the RB machine is lifted (weight 7 tn) at 15 cm from the floor level, the accidently proceeds to pull the RB machine with a key of 5 tons (maximum cap), to lay it on the floor, after advancing 70 cm horizontally, the anchor bolt (pig tail type, 5/8 ""diameter) to which the key was hooked, it breaks transversely, and with the pulling force, this key is projected onto the injured person's left shoulder causing the injury. - The injured was 1.50 meters from the key. - At the time of the incident, the assistant was 5 meters away doing order and cleaning",once the machine lift weight from the floor level the accidently proceed pull the machine with key tons maximum cap lay the floor after advance horizontally the anchor bolt pig tail type diameter which the key hook break transversely and with the pull force this key project onto the injure person leave shoulder cause the injury the injure meter from the key the time the incident the assistant meter away order and clean
100,1,4,"When positioning the scissor bolter N ° 09 in the East of stope 175 (40 meters from the top), the operator and his assistant verify that the ventilation sleeve will obstruct the support of the left gable, so they decide to section the sleeve and direct it towards the main corridor; the injured person decides to climb to the roof of the equipment cabin (surface: 1.5 square meters) to carry out the reinstallation of the sectioned sleeve and, without noticing, he steps on empty and falls from the equipment from a height of 2.50 meters. At the time of the accident, the operator was on the scissor bolter platform, the equipment was positioned and blocked to perform the maintenance and the assistant was wearing a safety helmet and chin strap.",when position the scissor bolter the east stop meter from the top the operator and his assistant verify that the ventilation sleeve will obstruct the support the leave gable they decide section the sleeve and direct towards the main corridor the injure person decide climb the roof the equipment cabin surface square meter carry out the reinstallation the section sleeve and without notice step empty and fall from the equipment from height meter the time the accident the operator the scissor bolter platform the equipment position and block perform the maintenance and the assistant wear safety helmet and chin strap
101,1,3,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal .",during the clean the vertical pipe use the hydrogen equipment high pressure hose the hose return due obstruction the pipe with residue reach the operator who actuated the equipment pedal
102,1,2,"In bypass 100 of level 1970 when the workers of the company Incimet Raul (operator of Bolter bolting team) and Rolando (assistant) retired after installing the support with helical bolt, the pink team with a mesh overhanging the gable, so the teacher tells his assistant to cut the mesh and the instant the assistant finished cutting the mesh, it suddenly rises hitting his face causing the injury described.",bypass level when the workers the company income raul operator bolter bolt team and rolando assistant retire after instal the support with helical bolt the pink team with mesh overhang the gable the teacher tell his assistant cut the mesh and the instant the assistant finish cut the mesh suddenly rise hit his face cause the injury describe
103,1,3,"Being 2:40 am. Approximately, Luna - master loader of the company Incimet was carrying out the loading activity of the front in the Cruiser 771 of the 1970 level; in moments that was tying the pentacord of the crown and trying to reach the fanel on the left side, loses balance by a movement of the ladder and falls to the floor resulting in the accident.",approximately luna master loader the company income carry out the load activity the front the cruiser the level moments that tie the pentacord the crown and try reach the panel the leave side lose balance movement the ladder and fall the floor result the accident
104,1,3,"In moments that the worker-mechanic was the workshop of maintenance, the wire of his mining lamp is hooked with a drill hole (4.0 Kg) that was on the work table of the workshop, which fell 1.m and impacted his left foot causing a minor bruise. At the time of the accident the collaborator used his safety boots with steel toecap.",moments that the worker mechanic the workshop maintenance the wire his mine lamp hook with drill hole that the work table the workshop which fell and impact his leave foot cause minor bruise the time the accident the collaborator use his safety boot with steel toecap
105,1,2,"In general store, while two store attendants removed the compartment a rubber mesh for material classification - 1.8 m.x1.2 m.x0.02 m .; 60 kg of weight - when lifted approx. 40 cm to position it against the edge of another mesh placed on the floor on a litter, this slightly imprisons the index finger of the right hand of one of the assistants causing a minor cutting wound. At the time of the accident the injured worker used leather gloves.",general store while two store attendants remove the compartment rubber mesh for material classification weight when lift approx position against the edge another mesh place the floor litter this slightly imprison the index finger the right hand one the assistants cause minor cut wind the time the accident the injure worker use leather gloves
106,1,4,"Employee reports that when attempting to manually ingot of Zinco, on the rotary table of the L1 ingot, hit with the left hand against the angle in the structure of the ingot, by pressing the finger between the ingot and the angle.",employee report that when attempt manually ingot zinc the rotary table the ingot hit with the leave hand against the angle the structure the ingot press the finger between the ingot and the angle
107,1,3,"When moving a roll of electro-welded mesh of 95 kg of weight to place on the hopper of the truck, two operators pull the roll of mesh to bring it to the hopper of the truck at which time the imprisonment of the left hand of one of the operators between the mesh and the body of the hopper generating the described injury. At the time of the accident, both operators were wearing PVC-type safety gloves.",when move roll electro weld mesh weight place the hopper the truck two operators pull the roll mesh bring the hopper the truck which time the imprisonment the leave hand one the operators between the mesh and the body the hopper generate the describe injury the time the accident both operators wear type safety gloves
108,1,5,"When performing cleaning with LHD in block F 9970 at level 420, the operator was surprised by a rock block displacement of the side of the gallery, reaching his right leg causing him superficial injury",when perform clean with block level the operator surprise rock block displacement the side the gallery reach his right leg cause him superficial injury
109,1,2,"the workshop at the end of the welding work in the small bolter equipment, the welder proceeds to clean the inside of a metal stool, impregnated with thinner (flammable liquid) and with the help of a hammer and screwdriver proceeds to remove the oxides, when hitting The screwdriver with the hammer produces a flash in the internal base of the stool, which produces a slight burn in the right hand of the welder. - At the time of the accident, the welder only uses a glove on the left hand ..",the workshop the end the weld work the small bolter equipment the welder proceed clean the inside metal stool impregnate with thinner flammable liquid and with the help hammer and screwdriver proceed remove the oxides when hit the screwdriver with the hammer produce flash the internal base the stool which produce slight burn the right hand the welder the time the accident the welder only use glove the leave hand
110,1,3,"Being 12:20 pm. Approximately in NV 1680 OB5 CX 018, Mr. Cesar - Operator of mine services, in an instant that he was picking up the cat position one of the truck crane of plate ACL 804, when raising with the right hand the lower part of the cat is indexed the index finger of the left hand, between the body of the cylinder valve of the cat and the valve of the turntable that was in the upper part.",approximately cesar operator mine service instant that pick the cat position one the truck crane plate when raise with the right hand the lower part the cat index the index finger the leave hand between the body the cylinder valve the cat and the valve the turntable that the upper part
111,2,4,The employee reports that he placed the air lance in the tank 1604 and then opened the manual air valve and projection of acid solution heated toward him reaching the front of the left thigh.,the employee report that place the air lance the tank and then open the manual air valve and projection acid solution heat toward him reach the front the leave thigh
112,1,2,The injured woman performed cleaning and when cleaning the sink of the collection room pierced the finger with a fragment of glass.,the injure woman perform clean and when clean the sink the collection room pierce the finger with fragment glass
113,1,3,"after discharging sodium hydroxide and disconnecting the hose, the employee placed next to the demineralization suction pump, which was turned off, receiving projection from the pump sensor, causing a 1st degree burn.",after discharge sodium hydroxide and disconnect the hose the employee place next the mineralization suction pump which turn off receive projection from the pump sensor cause degree burn
114,3,4,"Mr. Jesus operator of the concrete throwing team (alpha N ° 18) was shooting shotcrete in the Cx work. 001 Nv. 1710 OB1. applying 0.5 m3, he realizes that the additive did not come out in the mix, directing to lift the cover of the passage valve (54 Cm x 53 Cm of ¼ inch of thickness approximately 15 Kg). verifying that the valve was open, release the lid and it hits to the third finger of the left hand against the base, causing the injury.",jesus operator the concrete throw team alpha shoot shotcrete the work apply realize that the additive not come out the mix direct lift the cover the passage valve inch thickness approximately verify that the valve open release the lid and hit the third finger the leave hand against the base cause the injury
115,1,4,"The employee performed the return of the load at the entrance of the debarking machine, while trying to align a cathode was pressed in his right hand.",the employee perform the return the load the entrance the debar machine while try align cathode press his right hand
116,1,2,"The injured worker begins the work of presenting the support mesh cloth on the floor, making an initial cut in the mesh of a section of 0.3 m x 2.0 m for the ponchos, originating in the remaining mesh wicks (tips with prongs) protruding. When trying to make a second mesh cut, it is positioned at the edge of the remaining mesh with wicks to prevent them from curling, at which point it tries take your shear and remove the right foot of the mesh causing the mesh to roll up and embed a wick (tip with poles) through the left boot causing the injury. At the time of the accident the worker was wearing safety boots.",the injure worker begin the work present the support mesh cloth the floor make initial cut the mesh section for the ponchos originate the remain mesh wicks tip with prongs protrude when try make second mesh cut position the edge the remain mesh with wicks prevent them from curl which point try take your shear and remove the right foot the mesh cause the mesh roll and embed wick tip with pole through the leave boot cause the injury the time the accident the worker wear safety boot
117,4,4,"In the DDH chamber of the company Explomin, located at the level -100 Socorro ramp 334, when the worker - assistant driller-was dismantling the fifth drill rod (NQ - 3 meters of steel with a weight of 24 kg) , using a stilson key (No. 18), at that moment the operator operates the rotation unit, the drill rod rotates by pressing the left hand of the worker against the base of the rod holder, causing an injury to the left hand. At the time of the accident, the drilling assistant used rubber gloves",the chamber the company explain locate the level socorro ramp when the worker assistant driller dismantle the fifth drill rod meter steel with weight use stilton key that moment the operator operate the rotation unit the drill rod rotate press the leave hand the worker against the base the rod holder cause injury the leave hand the time the accident the drill assistant use rubber gloves
118,1,4,"When carrying out the maneuver to increase the HQ pipe line, the driller Wilder indicates the assistant Gilton introduce the inner pipe to the drill, the assistant introduces the inner pipe and places his hand in the box of the pipe, while the driller Without noticing, he moves the pipe over the assistant's hand and opens the chuck of the rotation unit, dropping the pipe, imprisoning the injured person's right hand causing the injury.",when carry out the manoeuvre increase the pipe line the driller wilder indicate the assistant milton introduce the inner pipe the drill the assistant introduce the inner pipe and place his hand the box the pipe while the driller without notice move the pipe over the assistant hand and open the chuck the rotation unit drop the pipe imprison the injure person right hand cause the injury
119,1,4,The employee reports that climbing the access ladder to the operating room of the Ustulation was surprised by the projection of sulfuric acid.,the employee report that climb the access ladder the operate room the undulation surprise the projection sulphuric acid
120,1,1,"When performing geological mapping activity, it was necessary to hammer a rock for analysis, at the moment when the clerk held it, a pointed fragment slipped on the third quirodactyl of the right hand causing a superficial cut.",when perform geological map activity necessary hammer rock for analysis the moment when the clerk hold point fragment slip the third quirodactyl the right hand cause superficial cut
121,2,4,"Being 04:20 p.m. approximately, in the Nv. 1880, CX-781. Mr. Kevin helper of Jumbo 55, removed the drill rod that was in the drilling hole, instants that breaks the chain of subjection of the table of the drilling machine, sliding down achieving rubbing the index finger of the left hand, causing the injury.",approximately the kevin helper jumbo remove the drill rod that the drill hole instants that break the chain subjection the table the drill machine slide down achieve rub the index finger the leave hand cause the injury
122,1,3,"Being 11:30 am. approximately, in the Nv. 1940, CX-791. Mr. Francisco - Operator of the Scoop 18, observes a polyethylene pipe thrown on the road, proceeding to lower his equipment and when was found by lifting the pipe to the hook of the right gable, a piece of rock that was suspended in the lectro-welded mesh, impacting on the operator's right eyebrow, causing the injury.",approximately the francisco operator the scoop observe polyethylene pipe throw the road proceed lower his equipment and when find lift the pipe the hook the right gable piece rock that suspend the electro weld mesh impact the operator right eyebrow cause the injury
123,1,3,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was hit by sulfuric acid spills from a line located above the pump house of the thermal recovery boiler.",when conduct inspection evaluate activity carry out the pump house the undulation steam station hit sulphuric acid spill from line locate above the pump house the thermal recovery boiler
124,1,3,"When conducting inspection to evaluate activity to be carried out in the pump house of the Ustulation steam station, it was struck by sulfuric acid spills from a line located above the house of thermal recovery boiler pumps.",when conduct inspection evaluate activity carry out the pump house the undulation steam station strike sulphuric acid spill from line locate above the house thermal recovery boiler pump
125,1,3,"The employee was sanding a piece in the Electrolysis at the end of the operation, when the protective cap of the disk spun to the back of the left hand.",the employee sand piece the electrolysis the end the operation when the protective cap the disk spin the back the leave hand
126,1,2,"During the die cutting of the feeder (PEAD geomembrane blanket weld seam) to store the extruder, the stylet blade came in the direction of its left forearm, resulting in blunt short injury.",during the die cut the feeder geomembrane blanket weld seam store the extruded the style blade come the direction its leave forearm result blunt short injury
127,1,3,"In the welding workshop of level 3620 (Ex -450 tunnel quinoa), in moments that the assistant raised a wooden strut - 3m long x 4 ""diameter - 20 Kg of weight, to place it on the work table at 1.30 m of height, treads another wooden strut placed on the floor losing the balance falling at the same level lying laterally on a concrete wall causing a bruise on the left shoulder.",the weld workshop level tunnel quinta moments that the assistant raise wooden strut long diameter weight place the work table height tread another wooden strut place the floor lose the balance fall the same level lie laterally concrete wall cause bruise the leave shoulder
128,1,2,"On Sunday, 15, the collaborator goes to the medical center saying that he had an accident 3 days ago when he performed internal maintenance work on the heat exchangers, defined as a confined space and at risk of burning with acid. When leaving the confined space, the employee removes the protective gloves without having passed through the emergency shower; At that moment, skin contact occurs with sulfates, generating the lesion.",sunday the collaborator the medical center say that have accident days ago when perform internal maintenance work the heat exchangers define confine space and risk burn with acid when leave the confine space the employee remove the protective gloves without have pass through the emergency shower that moment skin contact occur with sulfate generate the lesion
129,1,4,"In moments that the truck of transport of personnel of the company MCEISA plate AJG-751, moved from the Nv 3300 to surface, missing 50m to reach the mouth of the Nv 3900, the gearbox does not respond so the driver stops the truck to inspect it along with maintenance personnel who At that time I was traveling in the truck. They raise the cabin to manually put the change in first and continue the trip, culminated this task the driver with the support of the maintenance personnel lower the cabin which due to the weight falls hitting the driver between the cabin and the hopper of the truck. At the time of the accident the employee was wearing his safety helmet and chin strap.",moments that the truck transport personnel the company plate move from the surface miss reach the mouth the the gearbox not respond the driver stop the truck inspect along with maintenance personnel who that time travel the truck they raise the cabin manually put the change first and continue the trip culminate this task the driver with the support the maintenance personnel lower the cabin which due the weight fall hit the driver between the cabin and the hopper the truck the time the accident the employee wear his safety helmet and chin strap
130,1,4,"After completing the welding work on the backhoe bucket made for 4 hours, during which he used glass moon # 10, the welder feels a slight discomfort in the eyes, so he is transferred to the medical service for evaluation . During the accident the welder used facial mask for welding.",after complete the weld work the backbone bucket make for hours during which use glass moon the welder feel slight discomfort the eye transfer the medical service for evaluation during the accident the welder use facial mask for weld
131,1,2,"When an employee of MILPO Lima visited the facilities, when he was at level 2900, waiting for the personnel cage to go up to level 4070, drops of water fall from the ceiling from a height of 2.20 meters approximately, product of a slight filtration in the crown (sustained with shotcrete), a drop enters the right eye causing discomfort in the right eye. According to the employee, at the time of the accident the lenses had been removed to clean them, this happened after the visit to the interior of the mine.",when employee lima visit the facilities when level wait for the personnel cage level drop water fall from the ceiling from height meter approximately product slight filtration the crown sustain with shotcrete drop enter the right eye cause discomfort the right eye accord the employee the time the accident the lenses have remove clean them this happen after the visit the interior the mine
132,1,4,"At the El Porvenir sub-station at level 4240, when assembling a metal structure (approximately 120 kg) with the support of a lifting system, three operators try to accommodate the structure to anchor it on its base, at this moment the Metallic structure slides in the direction of the injured worker's right hand, producing a slight right hand accretion between the head of the bolt and the base of the structure causing the injury. At the time of the accident the operators made use of their safety gloves.",the souvenir sub station level when assemble metal structure approximately with the support lift system three operators try accommodate the structure anchor its base this moment the metallic structure slide the direction the injure worker right hand produce slight right hand accretion between the head the bolt and the base the structure cause the injury the time the accident the operators make use their safety gloves
133,1,3,"The employee was performing carbon steel pipe marking activity when his helmet was struck by a tube, causing a scalp wound due to the impact of the helmet's sheepskin.",the employee perform carbon steel pipe mark activity when his helmet strike tube cause scalp wind due the impact the helmet sheepskin
134,1,3,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee.",during the maintenance the pump there the projection silicate pulp reach the right leg the employee
135,1,1,"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head.",circumstances that the collaborator juvenile perform the wash the tables the pot wash area she suffer feel dizziness and faintness cause the fall the same level and produce slight concussion the head
136,1,4,"During the transit of the fuel tanker of level 3530 at level 2925 by the north ramp; When passing through level 3140 the operator feels that the right rear tire skids and when the operator performs a defensive maneuver the truck hits the left gable causing the injury described. At the time of the accident, the pilot and co-pilot were wearing a safety belt, their safety glasses and helmet.",during the transit the fuel tanker level level the north ramp when pass through level the operator feel that the right rear tire skid and when the operator perform defensive manoeuvre the truck hit the leave gable cause the injury describe the time the accident the pilot and pilot wear safety belt their safety glass and helmet
137,4,4,"During field trip, to return to work after lunch, the employee of the Wellfield company slipped on the loose stones that were in the place. At that moment, with the intention of balancing, he tried hold onto a tree, falling under the right arm causing fracture at the distal end of the radius. The activity was paralyzed and the employee was referred to the Hospital in Paracatu where he underwent medical care.",during field trip return work after lunch the employee the wellfield company slip the loose stone that the place that moment with the intention balance try hold onto tree fall under the right arm cause fracture the distal end the radius the activity paralyse and the employee refer the hospital paracatu where undergo medical care
138,1,3,"Being 10:50 am. Approximately, in the workshop of mechanical maintenance (surface) Mr. Orlando of boltec) and his assistant Mr. Macedonio made the cut of the link to shorten the distance of the chain and hold the injection hose of resin, instant that the saw blade leaves its cutting position, affecting the second finger of the left hand causing the injury.",approximately the workshop mechanical maintenance surface orlando bolted and his assistant macedonia make the cut the link shorten the distance the chain and hold the injection hose resin instant that the saw blade leave its cut position affect the second finger the leave hand cause the injury
139,2,3,"During the tests of the soft starter of the engine of belt 03 the collaborator Igor moves around the site and at approximately 19:45 pm falls into a trench for electric cables, (0.90m deep), the same as was found partially discovered.",during the test the soft starter the engine belt the collaborator igor move around the site and approximately fall into trench for electric cable deep the same find partially discover
140,1,5,"When checking voltage at the power outlet of the the plug and socket to make sure the connection was correct, when there was a small electrical arc in the power cord, causing a slight burn in the right hand wrist. The protection system acted immediately.",when check voltage the power outlet the the plug and socket make sure the connection correct when there small electrical arc the power cord cause slight burn the right hand wrist the protection system act immediately
141,1,1,"The ground team coordinated by Prospector with his assistants: da Silva and Wila 14:45 p.m., in a prong opening to access and collect soil samples, Auxiliar came across some he tried to divert about 10 meters to the right of the place, but at the moment of the diversion he came across the marimbondo house in front of him, not giving time for any other action since the thugs were already agitated, da Silva 5 times: a sting in the head, another behind the neck and other 3 stings in the face. Since all have allergy tests, it was verified that there was no allergic reaction, washed the affected part and returned to normal activities.",the grind team coordinate prospector with his assistants silva and will prong open access and collect soil sample auxiliary come across some try divert about meter the right the place but the moment the diversion come across the marimbondo house front him not give time for any other action since the thugs already agitate silva time sting the head another behind the neck and other sting the face since all have allergy test verify that there allergic reaction wash the affect part and return normal activities
142,1,1,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities.",the geological reconnaissance activity the farm zero the team compose felipe and divine morais normal activity encounter biliary forest they need enter the forest verify rock outcrop which the front the divine realize the open the access with machete that moment take bite from his neck there more attack allergic reaction and continue work normally with the work complete leave the forest for the same access the divine assistant attack snake and suffer sting the forehead that moment they move away from the area verify that there type allergic reaction and return with normal activities
143,1,1,"In the geological reconnaissance activity, in the farm of Mr. Lázaro, the team composed by Felipe and Divino de Morais, in normal activity encountered a ciliary forest, as they needed to enter the forest to verify a rock outcrop which was the front, the Divine realized the opening of the access with machete. At that moment, took a bite from his neck. There were no more attacks, no allergic reaction, and continued work normally. With the work completed, leaving the forest for the same access, the Divine assistant was attacked by a snake and suffered a sting in the forehead. At that moment they moved away from the area. It was verified that there was no type of allergic reaction and returned with normal activities.",the geological reconnaissance activity the farm zero the team compose felipe and divine morais normal activity encounter biliary forest they need enter the forest verify rock outcrop which the front the divine realize the open the access with machete that moment take bite from his neck there more attack allergic reaction and continue work normally with the work complete leave the forest for the same access the divine assistant attack snake and suffer sting the forehead that moment they move away from the area verify that there type allergic reaction and return with normal activities
144,1,3,The clerk was peeling and pulling a sheet came another one that struck in his 5th chirodactile of the left hand tearing his PVC sleeve caused a cut.,the clerk peel and pull sheet come another one that strike his chirodactile the leave hand tear his sleeve cause cut
145,1,3,"During the process of washing the material (Becker), the tip of the material was broken which caused a cut of the 5th finger of the right hand",during the process wash the material becker the tip the material break which cause cut the finger the right hand
146,1,2,"In circumstances that the collaborator performed the cleaning of the ditch 3570, 0.50 cm deep, removing the pipe of 2 ""HDPE material with an estimated weight of 30 Kg. Together with two collaborators, when pushing the tube to drain the dune, the collaborator is hit on the lower right side lip producing a slight blow to the lip. At the time of the event, the collaborator had a safety helmet, glasses and gloves.",circumstances that the collaborator perform the clean the ditch deep remove the pipe material with estimate weight together with two collaborators when push the tube drain the dune the collaborator hit the lower right side lip produce slight blow the lip the time the event the collaborator have safety helmet glass and gloves
147,5,5,"Being 01:50 p.m. approximately, in the Nv. 1800, in the Tecnomin winery. Mr. Chagua - Bodeguero was alone, cutting wires No. 16 with a grinder, previously he had removed the protection guard from the disk of 4 inches in diameter and adapted a disk of a crosscutter of approximately 8 inches. Originating traumatic amputation of two fingers of the left hand",approximately the the tecnomin winery hague bodeguero alone cut wire with grinder previously have remove the protection guard from the disk inch diameter and adapt disk crosscutter approximately inch originate traumatic amputation two finger the leave hand
148,2,2,"During the field trip, on LT 01 of the Lajes target, Junior da Costa official stepped on a wooden stump that was on the ground, approximately 5 cm, which pierced his boot wounding the sole of the right foot. At the time of the accident, the employee was using all the PPE required for the activity and had his hands free. The employee was taken to the hospital, where he went through medical care, and was released to return to his activities the next day of work.",during the field trip the lakes target junior costa official step wooden stump that the grind approximately which pierce his boot wound the sole the right foot the time the accident the employee use all the require for the activity and have his hand free the employee take the hospital where through medical care and release return his activities the next day work
149,1,3,"at level 2900, during the ore hauling activity with locomotive from the OP2 to the bines, at times when the convoy was traveling through the hopper of the OP1, the assistant motorist who was riding in the saddle holding the pole is struck weakly by a split set which was suspended in the HDP pipeline in the gable the work at 1.65 meters from the floor. At the time of the accident, the assistant was wearing all his safety equipment and was wearing a seatbelt. At the time of the accident the Split set only accompanied the movement path of the convoy.",level during the ore haul activity with locomotive from the the bin time when the convoy travel through the hopper the the assistant motorist who rid the saddle hold the pole strike weakly split set which suspend the pipeline the gable the work meter from the floor the time the accident the assistant wear all his safety equipment and wear seatbelt the time the accident the split set only accompany the movement path the convoy
150,1,1,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated.",the employee who work electrician the management electrometallurgy suffer contusion the right leg when suffer slip the height step the staircase with code furnace cat ladder immediately refer collaborator the medical service treat
151,1,3,"At times that the workers: Technician and Mr. Orlando of Boltec 2 of Cia. wanted to pass the hand stacker by a sardinel, the technician pulled the hydraulic arm, while Mr. was pushing from the nail of the equipment, when reaching the trench the rim is tied and the team turns forward falling on the technician.",time that the workers technician and orlando bolted cia want pass the hand stacker sardines the technician pull the hydraulic arm while push from the nail the equipment when reach the trench the rim tie and the team turn forward fall the technician
152,1,1,"In circumstances where the employee made the connection of the electric cable of the No. 08 jumbo, the operator feels discomfort in the face cleaning with the hand while using the rubber glove, generating a superficial laceration (small wound) on the left cheekbone.",circumstances where the employee make the connection the electric cable the jumbo the operator feel discomfort the face clean with the hand while use the rubber glove generate superficial laceration small wind the leave cheekbone
153,1,3,"In phase III of the concentrator plant, the maintenance personnel carried out the removal of transmission belt from the flotation cell of Pb cleaning; at the moment the mechanic removed the belt he leans on his left leg which slides towards the grating floor, leaving his foot between the two pipes generating the lesion described. The work was carried out at the floor level and at the time of the accident, the staff had put on their safety equipment.",phase the concentrator plant the maintenance personnel carry out the removal transmission belt from the flotation cell clean the moment the mechanic remove the belt lean his leave leg which slide towards the grate floor leave his foot between the two pip generate the lesion describe the work carry out the floor level and the time the accident the staff have put their safety equipment
154,4,4,At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.,approximately the operator eustaquio fall down from the metal platform that give access tank the strong acid leach stage and suffer ludo fracture the wrist leave when lean the floor with his hand the operator direct the first tank the strong acid leach stage verify the entry spend the take
155,1,1,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",project vacant that carry out sediment collection current the south mata target the drainage serra garrotte team that compose members the company the lexandro and jehan nio they move from one collection point another inside shallow drainage they saw the bee carton the reaction move away from the box quickly possible avoid the sting they run about meter look for safe area exit the radius attack the but the and bruno attack and consequently they suffer sting the belly and jehovah the hand verify that there type allergic reaction return with the normal activities
156,1,1,"Project of Vazante that carried out sediment collection of current in the South of Mata target, in the drainage of Serra do Garrote. team that was composed of 04 members of the WCA company, being the S.r.s Leandro, and Jehovânio. they were moving from one collection point to another, inside a shallow drainage, they saw the bee carton, the reaction was to move away from the box as quickly as possible to avoid the stings, they ran about 50 meters, looking for a safe area, to exit the radius of attack of the bees, but the S.S. and Breno), were attacked and consequently they suffered 02 stings, in the belly and Jehovah in the hand, verified that there was no type of allergic reaction, returned with the normal activities.",project vacant that carry out sediment collection current the south mata target the drainage serra garrotte team that compose members the company the lexandro and jehan nio they move from one collection point another inside shallow drainage they saw the bee carton the reaction move away from the box quickly possible avoid the sting they run about meter look for safe area exit the radius attack the but the and bruno attack and consequently they suffer sting the belly and jehovah the hand verify that there type allergic reaction return with the normal activities
157,1,3,"The employee reports that he was working with brushcutters near the Stone when the blade of the equipment collided with a piece of metal that was projected toward his leg, causing injury to his left leg.",the employee report that work with brushcutters near the stone when the blade the equipment collide with piece metal that project toward his leg cause injury his leave leg
