Name,Website,Crunchbase URL,Funds Raised,Event,Outcome,Status
HealthyWage,healthywage.com,https://www.crunchbase.com/organization/healthywage,,TC50 2009,Contestant,Operating
Heatworks Technology,myheatworks.com,https://www.crunchbase.com/organization/isi-technology,$7.2M,Disrupt NYC 2014,Runner up,Operating
Hello Alfred,helloalfred.com,https://www.crunchbase.com/organization/alfred,$12.5M,Disrupt SF 2014,Winner,Operating
High Mobility,high-mobility.com,https://www.crunchbase.com/organization/high-mobility,$1.1M,Disrupt EU 2013,Contestant,Operating
Hmmm,hmmmapp.com,https://www.crunchbase.com/organization/hmmm,,Disrupt NYC 2012,Contestant,Operating
HomeMe,homemeapp.com,https://www.crunchbase.com/organization/homeme-inc,$3.2M,Disrupt NY 2016,Contestant,Operating
HouseFix,housefix.com,https://www.crunchbase.com/organization/housefix,$150K,Disrupt SF 2011,Contestant,Closed
HowFactory,howfactory.com,https://www.crunchbase.com/organization/howfactory,$195K,Disrupt NY 2015,Contestant,Operating
hownow,learnhownow.com,https://www.crunchbase.com/organization/hownow,,Disrupt NYC 2012,Contestant,Closed
Humon,humon.io,https://www.crunchbase.com/organization/humon,$1M,Disrupt SF 2015,Contestant,Operating
HuoHua Mobile,huohua.co,https://www.crunchbase.com/organization/huohua-mobile,,Disrupt Beijing 2011,Contestant,Closed
IAMNEWS,iamnews.com,https://www.crunchbase.com/organization/iamnews,,TC50 2008,Audience choice,Closed
iCharts,icharts.net,https://www.crunchbase.com/organization/icharts,$16.3M,TC50 2008,Contestant,Operating
Idle Gaming,idle-gaming.com,https://www.crunchbase.com/organization/idle-gaming,$14.1M,Disrupt SF 2011,Contestant,Operating
Imindi,imindi.com,https://www.crunchbase.com/organization/imindi,$500K,TC50 2008,Contestant,Closed
IMO,,https://www.crunchbase.com/organization/imo-2,,TC50 2009,Contestant,Operating
import.io,import.io,https://www.crunchbase.com/organization/importio,$18.2M,Disrupt EU 2013,Finalist,Operating
ImpulseSave,impulsesave.com,https://www.crunchbase.com/organization/impulsesave,$50K,Disrupt SF 2012,Contestant,Acquired
Incident Technologies,incidentgtar.com,https://www.crunchbase.com/organization/incident-technologies,$745K,Disrupt NYC 2012,Runner up,Operating
inMarket,inmarket.com,https://www.crunchbase.com/organization/checkpoints,$2M,Disrupt SF 2010,Contestant,Operating
INRFOOD,inrfood.com,https://www.crunchbase.com/organization/inrfood,$457K,Disrupt SF 2012,Contestant,Operating
Insensi,ily.co,https://www.crunchbase.com/organization/insensi,$3M,Hardware Battlefield 2016,Contestant,Acquired
InsideDNA,insidedna.me,https://www.crunchbase.com/organization/insidedna-ltd,,Disrupt London 2016,Runner up,Operating
InsideMaps,insidemaps.com,https://www.crunchbase.com/organization/insidemaps,,Disrupt SF 2013,Contestant,Operating
Instant API Inc.,instantapi.com,https://www.crunchbase.com/organization/instant-api,$355K,Disrupt EU 2014,Contestant,Operating
Insttant,insttant.com,https://www.crunchbase.com/organization/insttant,,TC50 2009,Contestant,Operating
Integreight,integreight.com,https://www.crunchbase.com/organization/integreight,,Disrupt EU 2013,Audience choice,Operating
Intelligent Flying Machines,ifm-tech.com,https://www.crunchbase.com/organization/ifm-technologies-llc,,Disrupt SF 2016,Contestant,Operating
InvoiceASAP,invoiceasap.com,https://www.crunchbase.com/organization/invoiceasap,$696.3K,Disrupt NYC 2011,Audience choice,Operating
Ionic Security,ionicsecurity.com,https://www.crunchbase.com/organization/ionic-security,$122.4M,Disrupt SF 2012,Contestant,Operating
Iris AI,iris.ai,https://www.crunchbase.com/organization/iris-ai,$421.6K,Disrupt London 2016,Contestant,Operating
IsItYou,isityou.biz,https://www.crunchbase.com/organization/isityou,$1M,Disrupt SF 2014,Contestant,Operating
iThryv,ithryv.com,https://www.crunchbase.com/organization/ithryv,,TC50 2008,Contestant,Operating
iTwin,itwin.com,https://www.crunchbase.com/organization/itwin,$1.3M,TC50 2009,Contestant,Acquired
IZEA,izea.com,https://www.crunchbase.com/organization/izea,$34.9M,Disrupt NYC 2010,Contestant,Ipo
Japet Medical Devices,japet.eu,https://www.crunchbase.com/organization/japet-medical-devices,,-,Contestant,Operating
Jewelbots,jewelbots.com,https://www.crunchbase.com/organization/jewel-bots,$1.2M,Hardware Battlefield 2016,Contestant,Operating
Jiff,jiff.com,https://www.crunchbase.com/organization/jiff,$67.8M,Disrupt SF 2011,Contestant,Acquired
Jukedeck,jukedeck.com,https://www.crunchbase.com/organization/jukedeck,$3.8M,Disrupt London 2015,Winner,Operating
JumpCloud,jumpcloud.com,https://www.crunchbase.com/organization/jumpcloud,$11.7M,Disrupt SF 2013,Contestant,Operating
Kaltura,kaltura.com,https://www.crunchbase.com/organization/kaltura,$166.1M,TC40 2007,Audience choice,Operating
Karizma,karizma.im,https://www.crunchbase.com/organization/karizma,,Disrupt NYC 2011,Contestant,Closed
Katalyst Network,katalystng.com,https://www.crunchbase.com/organization/katalyst-media,$10M,TC50 2008,Contestant,Closed
Keen Home,keenhome.io,https://www.crunchbase.com/organization/keen-home,$1.6M,Disrupt NYC 2013,Contestant,Operating
keenkong,,https://www.crunchbase.com/organization/keenkong,,Disrupt NYC 2010,Contestant,Operating
Kerpoof,kerpoof.com,https://www.crunchbase.com/organization/kerpoof,,TC40 2007,Contestant,Acquired
Kinobi,kinobi.co,https://www.crunchbase.com/organization/kinobi,,Disrupt SF 2012,Contestant,Closed
Kisi,getkisi.com,https://www.crunchbase.com/organization/kisi,$1.6M,Disrupt NYC 2013,Contestant,Operating
KIWI,kiwi.ki,https://www.crunchbase.com/organization/kiwi-ki,$4.4M,Disrupt EU 2013,Contestant,Operating
Kloudless,kloudless.com,https://www.crunchbase.com/organization/kloudless,$1.3M,Disrupt NYC 2013,Contestant,Operating
Knocki,knocki.com,https://www.crunchbase.com/organization/knocki,$1.9M,-,Audience choice,Operating
Koality,koalitycode.com,https://www.crunchbase.com/organization/koality,$1.8M,Disrupt SF 2013,Contestant,Acquired
Koemei,koemei.com,https://www.crunchbase.com/organization/koemei,$1.3M,Disrupt NYC 2012,Contestant,Operating
Kohort,kohort.com,https://www.crunchbase.com/organization/kohort,$3M,Disrupt NYC 2011,Contestant,Closed
Koto Labs,koto.io,https://www.crunchbase.com/organization/cubesensors,$717K,Hardware Battlefield 2014,Winner,Operating
KurbKarma,kurbkarma.com,https://www.crunchbase.com/organization/kurbkarma,,Disrupt NYC 2012,Contestant,Operating
Kurbo Health,kurbo.com,https://www.crunchbase.com/organization/kurbo-health,$5.8M,Disrupt NYC 2014,Contestant,Operating
Kwoller,kwoller.com,https://www.crunchbase.com/organization/kwoller,,Disrupt NYC 2014,Contestant,Operating
lark,lark.com,https://www.crunchbase.com/organization/lark,$4.1M,Disrupt SF 2010,Contestant,Operating
Laugh Radio,laughradio.com,https://www.crunchbase.com/organization/laugh-radio,,Disrupt NY 2016,Audience choice,Operating
Layer,layer.com,https://www.crunchbase.com/organization/layer,$42.1M,Disrupt SF 2013,Winner,Operating
Leaf,getleaf.co,https://www.crunchbase.com/organization/leaf-4,$2M,Disrupt SF 2015,Contestant,Operating
Leapfin,leapfin.com,https://www.crunchbase.com/organization/leap-4,$1M,Disrupt SF 2015,Finalist,Operating
LearnVest,learnvest.com,https://www.crunchbase.com/organization/learnvest,$69M,TC50 2009,Contestant,Acquired
Levebee,levebee.com,https://www.crunchbase.com/organization/levebee,,Disrupt EU 2014,Contestant,Operating
LiftIgniter,liftigniter.com,https://www.crunchbase.com/organization/liftigniter,$50K,Disrupt London 2016,Finalist,Operating
Liquidity Nanotech Corporation,liquico.com,https://www.crunchbase.com/organization/liquidity-nanotech-corporation,$10.6M,Disrupt NY 2015,Winner,Operating
Lissn,lissn.in,https://www.crunchbase.com/organization/lissn,,TC50 2009,Contestant,Closed
Lit Motors,litmotors.com,https://www.crunchbase.com/organization/lit-motors,$2.2M,Disrupt SF 2012,Runner up,Operating
Live Matrix,livematrix.com,https://www.crunchbase.com/organization/live-matrix,,Disrupt NYC 2010,Contestant,Acquired
LiveHit,livehit.com,https://www.crunchbase.com/organization/livehit,,TC50 2008,Contestant,Operating
LiveIntent,liveintent.com,https://www.crunchbase.com/organization/liveintent,$65.1M,Disrupt NYC 2010,Audience choice,Operating
Livemap,livemap.info,https://www.crunchbase.com/organization/livemap,$1.3M,Hardware Battlefield 2014,Contestant,Operating
Livestar,livestar.com,https://www.crunchbase.com/organization/livestar,$2M,Disrupt SF 2012,Contestant,Acquired
Lobster,lobster.media,https://www.crunchbase.com/organization/lobster,$2M,Disrupt EU 2014,Contestant,Operating
localbacon,jibe.com,https://www.crunchbase.com/organization/localbacon,$875K,TC50 2009,Contestant,Closed
LocalHero Inc.,,https://www.crunchbase.com/organization/localhero-inc,,Disrupt SF 2011,Contestant,Operating
Locality,locality.com,https://www.crunchbase.com/organization/locality,$6.7M,Disrupt NYC 2012,Contestant,Operating
Lock8,lock8.me,https://www.crunchbase.com/organization/lock8,,Disrupt EU 2013,Winner,Operating
LookSee Labs Inc,lookseelabs.com,https://www.crunchbase.com/organization/looksee-labs-inc,,Hardware Battlefield 2015,Finalist,Operating
LUCY,startwithlucy.com,https://www.crunchbase.com/organization/lucy-4,$2.3M,Disrupt SF 2016,Audience choice,Operating
Lumenus,lumenus.com,https://www.crunchbase.com/organization/lumenus-2,$250K,Disrupt NY 2016,Contestant,Operating
Lumier,lumier.com,https://www.crunchbase.com/organization/lumier,$350K,Disrupt NYC 2011,Contestant,Operating
Lystable,lystable.com,https://www.crunchbase.com/organization/lystable,$25.1M,Disrupt London 2015,Finalist,Operating
LyteShot,lyteshot.com,https://www.crunchbase.com/organization/lyteshot,$635K,Hardware Battlefield 2015,Contestant,Operating
Madbrook,everythingbuttart.com,https://www.crunchbase.com/organization/madbrook-publishing,,Disrupt NYC 2011,Contestant,Operating
MailTime,mailtime.com,https://www.crunchbase.com/organization/mailtime,$3.2M,Disrupt SF 2014,Contestant,Operating
Mainframe,mainframe.co,https://www.crunchbase.com/organization/mainframe-2,$300K,Disrupt London 2015,Contestant,Operating
Maluuba,maluuba.com,https://www.crunchbase.com/organization/maluuba,$9.2M,Disrupt SF 2012,Contestant,Acquired
Matibabu,thinkitlimited.com,https://www.crunchbase.com/organization/matibabu,,-,Contestant,Operating
MAX - Metro Africa Express,max.ng,https://www.crunchbase.com/organization/max-2,$1.1M,Disrupt London 2015,Runner up,Operating
Me-trics,me-trics.com,https://www.crunchbase.com/organization/me-trics,,TC50 2008,Contestant,Closed
"MedRepublic, Inc",medrepublic.com,https://www.crunchbase.com/organization/medrepublic-inc,$800K,Disrupt SF 2016,Contestant,Operating
Meexo,meexo.com,https://www.crunchbase.com/organization/meexo,,Disrupt SF 2011,Contestant,Acquired
mEgo,mego.com,https://www.crunchbase.com/organization/mego,$7.3M,TC40 2007,Contestant,Closed
Meporter,meporter.com,https://www.crunchbase.com/organization/meporter,,Disrupt NYC 2011,Contestant,Operating
Meritful,meritful.com,https://www.crunchbase.com/organization/meritful,,Disrupt NYC 2013,Contestant,Operating
Metaplace,metaplace.com,https://www.crunchbase.com/organization/metaplace,$9.4M,TC40 2007,Contestant,Acquired
Metricly,metricly.com,https://www.crunchbase.com/organization/metricly,,TC50 2009,Contestant,Closed
mFluiDx,mfluidx.com,https://www.crunchbase.com/organization/mfluidx,,Disrupt SF 2016,Contestant,Operating
MicroBlink,microblink.com,https://www.crunchbase.com/organization/microblink,,Disrupt EU 2014,Finalist,Operating
Mimi Hearing Technologies GmbH,mimi.io,https://www.crunchbase.com/organization/mimi-hearing-technologies,,Disrupt NYC 2014,Finalist,Operating
Mink,gracemink.com,https://www.crunchbase.com/organization/mink,,Disrupt NYC 2014,Contestant,Operating
Minor Studios,minorstudios.com,https://www.crunchbase.com/organization/minor-studios,,TC50 2008,Finalist,Closed
Mint,mint.com,https://www.crunchbase.com/organization/mint,$31.8M,TC40 2007,Winner,Acquired
Mirth Corp,mirth.com,https://www.crunchbase.com/organization/mirth-corp,,Disrupt NYC 2012,Contestant,Operating
Miso Media,misomedia.com,https://www.crunchbase.com/organization/miso-media,$3M,Disrupt SF 2010,Audience choice,Closed
MIXTT,mixtt.com,https://www.crunchbase.com/organization/mixtt,,TC50 2008,Contestant,Closed
Mob.ly,mob.ly,https://www.crunchbase.com/organization/mob-ly,$900K,TC50 2008,Contestant,Acquired
Mobalytics,mobalyticshq.com,https://www.crunchbase.com/organization/mobalytics,$2.6M,Disrupt SF 2016,Winner,Operating
Mobclix,mobclix.com,https://www.crunchbase.com/organization/mobclix,,TC50 2008,Contestant,Acquired
MobilePayUSA,mobilepayusa.com,https://www.crunchbase.com/organization/mobilepayusa,,Disrupt SF 2010,Audience choice,Closed
Modbot,modbot.com,https://www.crunchbase.com/organization/modbot,$4M,Hardware Battlefield 2014,Contestant,Operating
Moglue,moglue.com,https://www.crunchbase.com/organization/moglue,$1.2M,Disrupt Beijing 2011,Finalist,Closed
Money Intel,moneyintel.com,https://www.crunchbase.com/organization/money-intel,,Disrupt SF 2015,Contestant,Operating
Monsieur,monsieur.co,https://www.crunchbase.com/organization/monsieur,$3.3M,Disrupt SF 2013,Contestant,Operating
MOTA Motors,mota.com,https://www.crunchbase.com/organization/mota-motors,$9.5M,TC50 2009,Contestant,Operating
MotherKnows,,https://www.crunchbase.com/organization/motherknows,,Disrupt NYC 2011,Contestant,Operating
Movebubble,movebubble.com,https://www.crunchbase.com/organization/movebubble,$3.1M,Disrupt London 2015,Contestant,Operating
Munro Electric Vehicle,munromotor.com/,https://www.crunchbase.com/organization/munro-electric-vehicle,,-,Contestant,Operating
Musicshake,musicshake.com,https://www.crunchbase.com/organization/musicshake,$3.5M,TC40 2007,Contestant,Operating
myki,myki.co,https://www.crunchbase.com/organization/ki,$1.2M,Disrupt SF 2016,Contestant,Operating
myLanguage,myLanguage.me,https://www.crunchbase.com/organization/mylanguage,$50K,Disrupt SF 2011,Contestant,Operating
mySkin,myskin.com,https://www.crunchbase.com/organization/myskin,$275K,Disrupt EU 2013,Contestant,Operating
Mytopia,mytopia.com,https://www.crunchbase.com/organization/mytopia,$3.5M,TC50 2008,Contestant,Acquired
NapTime,naptime.technology,https://www.crunchbase.com/organization/naptime,,Hardware Battlefield 2015,Contestant,Operating
Nativetap.io,nativetap.io,https://www.crunchbase.com/organization/native-tap,$100K,Disrupt NY 2015,Contestant,Operating
NetPlenish,shopgeniusapp.com,https://www.crunchbase.com/organization/netplenish,$1.9M,Disrupt SF 2012,Audience choice,Operating
Next Caller,nextcaller.com,https://www.crunchbase.com/organization/next-caller,,Disrupt SF 2013,Contestant,Operating
NextGoals,nextgoals.com,https://www.crunchbase.com/organization/nextgoals,,Disrupt Beijing 2011,Contestant,Operating
Neyya,myneyya.com,https://www.crunchbase.com/organization/fin-robotics,$2.2M,Hardware Battlefield 2014,Contestant,Operating
Nikola Labs,nikola.tech,https://www.crunchbase.com/organization/nikola-labs-llc,$2.8M,Disrupt NY 2015,Contestant,Operating
Nima,nimasensor.com,https://www.crunchbase.com/organization/6sensor-labs,$13.2M,Hardware Battlefield 2016,Winner,Operating
NimbusBase,nimbusbase.com,https://www.crunchbase.com/organization/nimbusbase,$275K,Disrupt NYC 2013,Contestant,Operating
NoiseToys,noisetoys.com,https://www.crunchbase.com/organization/noisetoys,$1.4M,Disrupt NYC 2010,Contestant,Operating
Notivo,notivo.com,https://www.crunchbase.com/organization/notivo,,Disrupt NYC 2014,Contestant,Operating
Nucleus Scientific,nucleusscientific.com,https://www.crunchbase.com/organization/nucleus-scientific,,Disrupt NY 2015,Finalist,Operating
NUMBER26,n26.com,https://www.crunchbase.com/organization/papayer,$10.7M,Disrupt EU 2014,Contestant,Operating
O-Robotix,orobotix.com,https://www.crunchbase.com/organization/o-robotix,$100K,Disrupt NY 2016,Contestant,Operating
Off & Away,offandaway.com,https://www.crunchbase.com/organization/off-away,$3.3M,Disrupt NYC 2010,Contestant,Acquired
Offerboard,offerboard.com,https://www.crunchbase.com/organization/offerboard,$1.3M,Disrupt NYC 2014,Contestant,Acquired
ONDiGO,ondigo.me,https://www.crunchbase.com/organization/ondigo,$500K,Disrupt EU 2014,Contestant,Operating
OneTrueFan,onetruefan.com,https://www.crunchbase.com/organization/onetruefan,$1.2M,Disrupt SF 2010,Contestant,Acquired
Open as App,openasapp.net,https://www.crunchbase.com/organization/open-as-app,,Disrupt London 2016,Contestant,Operating
Open Garden,opengarden.com,https://www.crunchbase.com/organization/open-garden,$12.8M,Disrupt NYC 2012,Finalist,Operating
Openbucks,openbucks.com,https://www.crunchbase.com/organization/openbucks,$5.3M,Disrupt SF 2011,Contestant,Operating
Opzi,opzi.com,https://www.crunchbase.com/organization/opzi,$1M,Disrupt SF 2010,Finalist,Closed
OrderWithMe,orderwithme.com,https://www.crunchbase.com/organization/orderwithme,$37M,Disrupt Beijing 2011,Winner,Operating
Organizer,organizer.com,https://www.crunchbase.com/organization/organizer,$3.9M,Disrupt SF 2012,Contestant,Operating
Orgoo,orgoo.com,https://www.crunchbase.com/organization/orgoo,,TC40 2007,Contestant,Closed
oscadi,oscadi.com,https://www.crunchbase.com/organization/oscadi,$651.4K,Disrupt EU 2014,Finalist,Operating
Osmo,playosmo.com,https://www.crunchbase.com/organization/osmo,$38.5M,Disrupt SF 2013,Contestant,Operating
Ossia,ossia.com,https://www.crunchbase.com/organization/ossia,$25.5M,Disrupt SF 2013,Runner up,Operating
OtherInbox,otherinbox.com,https://www.crunchbase.com/organization/otherinbox,$3.8M,TC50 2008,Contestant,Acquired
Outline,theoutline.com,https://www.crunchbase.com/organization/outline,$892K,Disrupt SF 2013,Contestant,Closed
"Overnest, Inc.",overnest.com,https://www.crunchbase.com/organization/overnest-inc,,Disrupt NY 2016,Contestant,Operating
Owlet Baby Care,owletcare.com,https://www.crunchbase.com/organization/owlet,$24M,Hardware Battlefield 2014,Runner up,Operating
Oxehealth,oxehealth.com,https://www.crunchbase.com/organization/oxehealth,$3.4M,Disrupt London 2016,Finalist,Operating
PageCloud,pagecloud.com,https://www.crunchbase.com/organization/pagecloud,$7.2M,Disrupt NY 2015,Finalist,Operating
Paidpiper,paidpiper.com,https://www.crunchbase.com/organization/paidpiper,$1.2M,Disrupt NYC 2013,Contestant,Operating
Pangea,pangeare.com,https://www.crunchbase.com/organization/pangea-3,,Disrupt NY 2015,Contestant,Operating
Paribus,paribus.co,https://www.crunchbase.com/organization/paribus,$2.2M,Disrupt NY 2015,Contestant,Acquired
Partpic,partpic.com,https://www.crunchbase.com/organization/partpic,$1.5M,Disrupt SF 2014,Finalist,Operating
Pathmapp,pathmapp.com,https://www.crunchbase.com/organization/pathmapp,,Disrupt SF 2012,Contestant,Closed
PatternEQ Inc.,patterneq.com,https://www.crunchbase.com/organization/patterneq-inc,,Disrupt SF 2014,Finalist,Operating
PayTap,paytap.com,https://www.crunchbase.com/organization/paytap,$520K,Disrupt SF 2012,Contestant,Operating
Peekster,peeksterapp.com,https://www.crunchbase.com/organization/peekster,$79.5K,Disrupt NYC 2014,Contestant,Operating
Peeple,peeple.io,https://www.crunchbase.com/organization/peeple,$156K,Hardware Battlefield 2015,Runner up,Operating
Penn & Teller,pennandteller.com,https://www.crunchbase.com/organization/penn-teller,,TC50 2009,Contestant,Operating
Perpetually,perpetually.com,https://www.crunchbase.com/organization/perpetually-com,,TC50 2009,Contestant,Acquired
PERSONALRIA,personalria.com,https://www.crunchbase.com/organization/personalria,,TC50 2008,Contestant,Closed
Peruse,peruse.io,https://www.crunchbase.com/organization/peruse,$50K,Disrupt NY 2015,Contestant,Operating
PhenixP2P Inc.,phenixp2p.com,https://www.crunchbase.com/organization/superior-streaming-technology-llc,$4.8M,Disrupt London 2016,Finalist,Operating
PHIND,phind.it,https://www.crunchbase.com/organization/phind,$755K,Disrupt NY 2015,Contestant,Operating
Pillar Technologies,pillar.tech,https://www.crunchbase.com/organization/pillar-technologies,$525K,-,Finalist,Operating
Pinger,pinger.com,https://www.crunchbase.com/organization/pinger,$18.5M,Disrupt SF 2010,Runner up,Operating
Pipewise,pipewise.com,https://www.crunchbase.com/organization/ccloop,$3.5M,Disrupt NYC 2011,Contestant,Closed
PlaceAVote.com,placeavote.com,https://www.crunchbase.com/organization/placeavote-com,$500K,Disrupt NY 2016,Contestant,Operating
Plantly,plantly.com,https://www.crunchbase.com/organization/plantly,,Disrupt NYC 2010,Audience choice,Closed
plaYce,playce.com,https://www.crunchbase.com/organization/playce,,TC50 2008,Contestant,Operating
PlaySay,playsay.com,https://www.crunchbase.com/organization/playsay,$1.1M,Disrupt SF 2011,Contestant,Acquired
Pluto Media,pluto-media.com,https://www.crunchbase.com/organization/pluto-media,$2.2M,Disrupt NYC 2014,Contestant,Operating
Ponoko,ponoko.com,https://www.crunchbase.com/organization/ponoko,$1.5M,TC40 2007,Contestant,Operating
Popego,grupo42.com,https://www.crunchbase.com/organization/popego,,TC50 2008,Contestant,Closed
Postbox,postbox-inc.com,https://www.crunchbase.com/organization/postbox,,TC50 2008,Contestant,Operating
Postmates,postmates.com,https://www.crunchbase.com/organization/postmates,$278M,Disrupt SF 2011,Contestant,Operating
Powerset,powerset.com,https://www.crunchbase.com/organization/powerset,$20.5M,TC40 2007,Contestant,Acquired
Preemadonna,preemadonna.com,https://www.crunchbase.com/organization/preemadonna,$500K,Disrupt SF 2015,Finalist,Operating
Pressly,pressly.com,https://www.crunchbase.com/organization/pressly,$3.6M,Disrupt SF 2011,Contestant,Operating
Prior Knowledge,priorknowledge.com,https://www.crunchbase.com/organization/prior-knowledge,$1.4M,Disrupt SF 2012,Finalist,Acquired
Prism Skylabs,prism.com,https://www.crunchbase.com/organization/prism-skylabs,$24M,Disrupt SF 2011,Runner up,Operating
productboard,productboard.com,https://www.crunchbase.com/organization/productboard,$1.7M,Disrupt SF 2016,Contestant,Operating
Publish2,publish2.com,https://www.crunchbase.com/organization/publish2,$2.8M,Disrupt NYC 2010,Finalist,Operating
PubMatic,pubmatic.com,https://www.crunchbase.com/organization/pubmatic,$63M,TC40 2007,Contestant,Operating
Punch!,punch.is,https://www.crunchbase.com/organization/punch,$2.2M,Disrupt NYC 2012,Contestant,Operating
Pundit,getpundit.com,https://www.crunchbase.com/organization/pundit,$120K,Disrupt SF 2016,Contestant,Operating
Qardio,getqardio.com,https://www.crunchbase.com/organization/qardio,$948K,Disrupt EU 2013,Contestant,Operating
Quant the News,quantnews.com,https://www.crunchbase.com/organization/quant-the-news,$150K,TC50 2008,Contestant,Closed
Questli,questli.com,https://www.crunchbase.com/organization/questli,,Disrupt SF 2011,Audience choice,Closed
QuickFire Networks,quickfirenetworks.com,https://www.crunchbase.com/organization/quickfire-networks,,Disrupt SF 2014,Contestant,Acquired
Qwiki,qwiki.com,https://www.crunchbase.com/organization/qwiki,$10.5M,Disrupt SF 2010,Winner,Acquired
Rackup,rackup.com,https://www.crunchbase.com/organization/rackup,$3.5M,TC50 2009,Contestant,Closed
Radiusly,radiusly.com,https://www.crunchbase.com/organization/radiusly,,TC50 2009,Contestant,Closed
Rainbow,,https://www.crunchbase.com/organization/shine-security,$3.3M,Disrupt SF 2013,Contestant,Operating
Rallyteam,rallyteam.com,https://www.crunchbase.com/organization/rallyteam,$20K,Disrupt SF 2014,Contestant,Operating
Redbeacon,redbeacon.com,https://www.crunchbase.com/organization/redbeacon,$7.4M,TC50 2009,Winner,Acquired
RefMob,refmobworks.com,https://www.crunchbase.com/organization/refmob,,TC50 2009,Contestant,Operating
Regalii,regalii.com,https://www.crunchbase.com/organization/regalii,$6M,Disrupt SF 2013,Finalist,Operating
Relevancy Data,relevancydata.com,https://www.crunchbase.com/organization/relevancy-data,$20.3K,Disrupt NY 2015,Contestant,Operating
Remark,remarkhq.com,https://www.crunchbase.com/organization/remark-hq,$100K,Disrupt SF 2013,Contestant,Operating
Rentlord,rentlord.com,https://www.crunchbase.com/organization/rentlord,,Disrupt SF 2011,Contestant,Operating
Rewardli,rewardli.com,https://www.crunchbase.com/organization/rewardli,$765K,Disrupt SF 2011,Contestant,Operating
Rex Animal Health,rexanimalhealth.com,https://www.crunchbase.com/organization/rex-animal-health,$145K,Disrupt SF 2016,Contestant,Operating
Rexly,rexly.com,https://www.crunchbase.com/organization/rexly,$20K,Disrupt NYC 2011,Contestant,Acquired
Richi,richi.com,https://www.crunchbase.com/organization/richi,,Disrupt Beijing 2011,Contestant,Operating
Rinen,opentrace.org,https://www.crunchbase.com/organization/rinen,,TC50 2008,Contestant,Closed
Ripio,ripio.com,https://www.crunchbase.com/organization/bitpagos,$7M,Disrupt NY 2016,Finalist,Operating
Ritual,ritual.com,https://www.crunchbase.com/organization/ritual-2,$5M,Disrupt NY 2016,Finalist,Operating
Roadie,roadie.com,https://www.crunchbase.com/organization/roadie-2,$25M,Disrupt NYC 2014,Audience choice,Operating
Robin Technologies Inc,tryrobin.com,https://www.crunchbase.com/organization/robin-technologies-inc,$1.2M,Disrupt SF 2016,Contestant,Operating
Robo Wunderkind,robowunderkind.com,https://www.crunchbase.com/organization/robo,$956K,Disrupt SF 2015,Contestant,Operating
Robotbase,robotbase.com,https://www.crunchbase.com/organization/robotbase,$250K,Hardware Battlefield 2015,Contestant,Operating
Rollout.io,rollout.io,https://www.crunchbase.com/organization/rollout-io-2,$3M,Disrupt SF 2015,Contestant,Operating
Satago,satago.com,https://www.crunchbase.com/organization/satago-net,$7.7M,Disrupt EU 2013,Contestant,Acquired
Saya,saya.im,https://www.crunchbase.com/organization/saya,,Disrupt SF 2012,Finalist,Acquired
sciencebite,sciencebite.com,https://www.crunchbase.com/organization/sciencebite-gmbh,,Disrupt SF 2014,Contestant,Operating
Scoutible,scoutible.com,https://www.crunchbase.com/organization/scoutible,$1.5M,Disrupt NY 2016,Contestant,Operating
Scrumpt,scrumptbox.com,https://www.crunchbase.com/organization/scrumpt,,Disrupt SF 2015,Finalist,Operating
Sealtale,sealtale.com,https://www.crunchbase.com/organization/sealtale,,TC50 2009,Contestant,Closed
SeatGeek,seatgeek.com,https://www.crunchbase.com/organization/seatgeek,$160M,TC50 2009,Contestant,Operating
Sedicii,sedicii.com,https://www.crunchbase.com/organization/sedicii,,Disrupt NYC 2014,Contestant,Operating
Seeds,playseeds.com,https://www.crunchbase.com/organization/seeds-2,$800K,Disrupt London 2016,Contestant,Operating
Seenit,seenit.io,https://www.crunchbase.com/organization/seenit,$1.4M,Disrupt London 2016,Winner,Operating
Selequity,selequity.com,https://www.crunchbase.com/organization/selequity,$590K,Disrupt NY 2015,Contestant,Operating
Self Lender,selflender.com,https://www.crunchbase.com/organization/self-lender,$2M,Disrupt SF 2014,Contestant,Operating
Sensay,sensay.it,https://www.crunchbase.com/organization/sensay,$6M,Disrupt SF 2016,Contestant,Operating
Sensibo,sensibo.com,https://www.crunchbase.com/organization/sensibo-2,$3.4M,Hardware Battlefield 2015,Audience choice,Operating
Sentinl inc.,sentinl.com,https://www.crunchbase.com/organization/sentinl,$100K,Hardware Battlefield 2016,Finalist,Operating
Sentri,sentri.me,https://www.crunchbase.com/organization/sentri,$855.4K,Hardware Battlefield 2015,Contestant,Operating
Sentry Scientific,sentryscientific.com,https://www.crunchbase.com/organization/sentry-scientific,,Hardware Battlefield 2014,Contestant,Operating
Separate.Us,separate.us,https://www.crunchbase.com/organization/separate-us,$165K,Disrupt SF 2015,Contestant,Operating
SeqCentral,seqcentral.com,https://www.crunchbase.com/organization/seqcentral,,Disrupt SF 2010,Contestant,Operating
Sereneti Kitchen,sereneti.com,https://www.crunchbase.com/organization/sereneti,$150K,Hardware Battlefield 2015,Contestant,Operating
Sevenhugs,sevenhugs.com,https://www.crunchbase.com/organization/sevenhugs,$16.2M,Disrupt London 2015,Contestant,Operating
Shaker,atshaker.com,https://www.crunchbase.com/organization/shaker,$18M,Disrupt SF 2011,Winner,Operating
